  1,213,537,746  99% - ...
  1,213,537,746  99%  - call-interactively@ido-cr+-record-current-command
  1,213,537,746  99%   - #<primitive-function call-interactively>
  1,213,537,746  99%    - funcall-interactively
  1,213,537,746  99%     - smex
  1,213,537,746  99%      - smex-read-and-run
  1,213,537,746  99%       - execute-extended-command
  1,213,537,746  99%        - command-execute
  1,213,537,746  99%         - call-interactively
  1,213,537,746  99%          - apply
  1,213,537,746  99%           - call-interactively@ido-cr+-record-current-command
  1,213,537,746  99%            - #<primitive-function call-interactively>
  1,213,537,746  99%             - funcall-interactively
  1,213,537,746  99%              - pel-profile-all
  1,213,537,746  99%               - pel-profile-indent
  1,213,537,746  99%                - pel-profile-indentation-test-of
  1,211,956,950  99%                 - call-interactively
  1,211,956,950  99%                  - apply
  1,211,956,950  99%                   - call-interactively@ido-cr+-record-current-command
  1,211,956,950  99%                    - #<primitive-function call-interactively>
  1,211,956,950  99%                     - funcall-interactively
  1,211,956,934  99%                      - seed7-complete-statement-or-indent
  1,211,956,934  99%                       - seed7-indent-region
  1,211,956,934  99%                        - seed7--indent-one-line
  1,211,956,934  99%                         - seed7-calc-indent
    492,047,778  40%                          - seed7-line-inside-parens-pair-column
    492,047,778  40%                           - seed7-line-inside-parens-pair
    483,121,019  39%                            - seed7-re-search-backward
    472,892,836  38%                             - run-with-timer
    472,892,836  38%                              - run-at-time
    264,937,668  21%                               - timer-activate
    264,937,668  21%                                - timer--activate
    264,937,668  21%                                 - timer--time-less-p
         33,469   0%                                    timer--time
    127,416,048  10%                                 timer-relative-time
     80,539,120   6%                               - timer-set-time
     80,539,120   6%                                  timer--time-setter
     10,113,685   0%                               re-search-backward
        112,187   0%                             - seed7-inside-string-p
        103,899   0%                              - syntax-ppss
         98,376   0%                                 parse-partial-sexp
          4,144   0%                                 make-closure
            760   0%                                 #<byte-code-function 7AE>
          1,431   0%                             - seed7-inside-comment-p
          1,431   0%                              - syntax-ppss
            910   0%                                 #<byte-code-function DDB>
             45   0%                                 syntax-table
            880   0%                               make-closure
      8,926,759   0%                            - forward-sexp
      8,925,600   0%                               seed7--forward-sexp-function
    325,107,142  26%                          - seed7-line-inside-a-block-cached
    325,107,142  26%                           - seed7-line-inside-a-block
    175,964,427  14%                            - seed7-re-search-backward
    163,182,172  13%                             - run-with-timer
    163,182,172  13%                              - run-at-time
     91,473,754   7%                               - timer-activate
     91,473,754   7%                                - timer--activate
     91,473,754   7%                                 - timer--time-less-p
        100,587   0%                                    timer--time
     43,950,713   3%                                 timer-relative-time
     27,757,705   2%                               - timer-set-time
     27,757,056   2%                                  timer--time-setter
     12,736,742   1%                               re-search-backward
         36,289   0%                             - seed7-inside-comment-p
         36,289   0%                              - syntax-ppss
         32,792   0%                                 parse-partial-sexp
          1,518   0%                                 syntax-table
            626   0%                                 #<byte-code-function DAE>
          8,583   0%                             - seed7-inside-string-p
            295   0%                              - syntax-ppss
            295   0%                                 syntax-table
            641   0%                               make-closure
    117,816,306   9%                            - seed7--safe-enclosing-block-bounds
    117,812,162   9%                             - seed7--block-end-pos-for
    117,649,538   9%                              - seed7-to-block-forward
     55,207,608   4%                               - seed7--current-line-nth-word
     55,202,671   4%                                - thing-at-point
     32,063,639   2%                                 - bounds-of-thing-at-point
     20,928,021   1%                                  - #<byte-code-function DE6>
     20,926,519   1%                                   - forward-thing
     20,926,488   1%                                      format
             31   0%                                      intern-soft
     11,075,604   0%                                  - #<byte-code-function 175>
     11,073,611   0%                                   - forward-thing
     11,072,952   0%                                      format
            659   0%                                      intern-soft
         29,696   0%                                    re-search-forward
         20,720   0%                                    make-closure
          9,598   0%                                  - seq-some
          8,288   0%                                     make-closure
