  2,408,150,809  99% - ...
  2,408,150,809  99%  - call-interactively
  2,408,150,809  99%   - apply
  2,408,150,809  99%    - call-interactively@ido-cr+-record-current-command
  2,408,150,809  99%     - #<primitive-function call-interactively>
  2,408,150,809  99%      - funcall-interactively
  2,408,150,809  99%       - smex
  2,408,150,809  99%        - smex-read-and-run
  2,408,150,809  99%         - execute-extended-command
  2,408,150,809  99%          - command-execute
  2,408,150,809  99%           - call-interactively
  2,408,150,809  99%            - apply
  2,408,150,809  99%             - call-interactively@ido-cr+-record-current-command
  2,408,150,809  99%              - #<primitive-function call-interactively>
  2,408,150,809  99%               - funcall-interactively
  2,408,150,809  99%                - pel-profile
  2,406,502,429  99%                 - call-interactively
  2,406,502,429  99%                  - apply
  2,406,502,429  99%                   - call-interactively@ido-cr+-record-current-command
  2,406,502,429  99%                    - #<primitive-function call-interactively>
  2,406,502,429  99%                     - funcall-interactively
  2,406,502,413  99%                      - seed7-complete-statement-or-indent
  2,406,502,413  99%                       - seed7-indent-region
  2,406,502,413  99%                        - seed7--indent-one-line
  2,398,906,050  98%                         - seed7-calc-indent
    790,413,923  32%                          - seed7-line-inside-a-block-cached
    790,256,811  32%                           - seed7-line-inside-a-block
    561,878,996  23%                            - seed7--safe-enclosing-block-bounds
    368,386,139  15%                             - seed7-to-block-backward
    281,244,242  11%                              - seed7-re-search-backward
    235,831,611   9%                               - run-with-timer
    235,831,611   9%                                - run-at-time
    115,939,185   4%                                 - timer-activate
    115,939,185   4%                                  - timer--activate
    115,939,185   4%                                   - timer--time-less-p
        132,287   0%                                      timer--time
     69,178,296   2%                                   timer-relative-time
     44,777,811   1%                                 - timer-set-time
     44,777,424   1%                                    timer--time-setter
      5,934,208   0%                                   timer-create
          2,111   0%                                   timer-set-function
     20,341,355   0%                               - seed7-inside-string-p
      4,333,083   0%                                - syntax-ppss
      4,322,192   0%                                   make-closure
          2,752   0%                                   syntax-table
            429   0%                                   #<byte-code-function AD4>
     14,136,962   0%                                 re-search-backward
      7,346,668   0%                               - seed7-inside-comment-p
      4,338,124   0%                                - syntax-ppss
      4,268,320   0%                                   make-closure
         65,584   0%                                   parse-partial-sexp
          1,883   0%                                   #<byte-code-function 38F>
          1,551   0%                                   syntax-table
      3,587,646   0%                                 make-closure
     56,852,331   2%                              - seed7--current-line-nth-word
     53,256,608   2%                               - thing-at-point
     44,852,067   1%                                - bounds-of-thing-at-point
     16,584,288   0%                                   make-closure
     11,814,566   0%                                 - #<byte-code-function 560>
     11,810,074   0%                                  - forward-thing
     11,809,512   0%                                     format
            562   0%                                     intern-soft
      6,721,373   0%                                 - #<byte-code-function B24>
      6,719,486   0%                                  - forward-thing
      6,719,064   0%                                     format
            422   0%                                     intern-soft
      4,166,872   0%                                 - seq-some
      4,164,720   0%                                    make-closure
            440   0%                                    seq-do
         16,512   0%                                   re-search-forward
      9,810,985   0%                              - seed7-inside-line-indent-before-comment-p
      3,383,063   0%                               - seed7-inside-comment-p
      2,040,407   0%                                - syntax-ppss
      2,005,696   0%                                   make-closure
         32,792   0%                                   parse-partial-sexp
            765   0%                                   syntax-table
            750   0%                                   #<byte-code-function DE2>
          4,722   0%                                 seed7-to-indent
      8,162,950   0%                              - seed7-beg-of-defun
      6,312,933   0%                               - seed7-top-block-name
      6,128,907   0%                                - seed7--to-top
      6,039,035   0%                                 - seed7-re-search-backward
      5,562,310   0%                                  - run-with-timer
      5,562,310   0%                                   - run-at-time
      2,710,560   0%                                    - timer-activate
      2,710,560   0%                                     - timer--activate
      2,710,560   0%                                        timer--time-less-p
      1,681,712   0%                                      timer-relative-time
      1,091,302   0%                                    - timer-set-time
      1,091,152   0%                                       timer--time-setter
         78,736   0%                                      timer-create
        265,216   0%                                  - seed7-inside-string-p
         45,584   0%                                   - syntax-ppss
         45,584   0%                                      make-closure
         78,736   0%                                  - seed7-inside-comment-p
         58,016   0%                                   - syntax-ppss
         58,016   0%                                      make-closure
         66,469   0%                                    re-search-backward
         66,304   0%                                    make-closure
         85,728   0%                                 - run-with-timer
         85,728   0%                                  - run-at-time
         41,904   0%                                   - timer-activate
         41,904   0%                                    - timer--activate
         41,904   0%                                       timer--time-less-p
         24,320   0%                                     timer-relative-time
         15,360   0%                                   - timer-set-time
         15,360   0%                                      timer--time-setter
          4,144   0%                                     timer-create
          4,144   0%                                   make-closure
        179,882   0%                                - seed7--block-name
        179,882   0%                                 - seed7-re-search-forward
         16,576   0%                                    seed7-inside-string-p
        733,713   0%                               - seed7-re-search-backward
        590,992   0%                                - run-with-timer
        590,992   0%                                 - run-at-time
        294,848   0%                                  - timer-activate
        294,848   0%                                   - timer--activate
        294,848   0%                                      timer--time-less-p
        173,888   0%                                    timer-relative-time
        118,112   0%                                  - timer-set-time
        118,112   0%                                     timer--time-setter
          4,144   0%                                    timer-create
         63,985   0%                                  re-search-backward
         53,872   0%                                - seed7-inside-string-p
         16,576   0%                                 - syntax-ppss
         16,576   0%                                    make-closure
         16,576   0%                                - seed7-inside-comment-p
          8,288   0%                                 - syntax-ppss
          8,288   0%                                    make-closure
          8,288   0%                                  make-closure
        389,634   0%                               - seed7-re-search-backward-closest
        389,634   0%                                - seed7-re-search-backward
        218,178   0%                                   re-search-backward
        167,312   0%                                 - run-with-timer
        167,312   0%                                  - run-at-time
         79,664   0%                                   - timer-activate
         79,664   0%                                    - timer--activate
         79,664   0%                                       timer--time-less-p
         48,640   0%                                     timer-relative-time
         34,864   0%                                   - timer-set-time
         34,864   0%                                      timer--time-setter
          4,144   0%                                     timer-create
          4,144   0%                                   seed7-inside-comment-p
         24,552   0%                                 match-string-no-properties
         21,448   0%                                 match-string
      6,303,697   0%                              - seed7--start-regexp-for
          8,184   0%                                 seed7--type-regexp
      4,075,966   0%                              - seed7-inside-comment-p
      2,310,622   0%                               - syntax-ppss
      2,304,064   0%                                  make-closure
          3,315   0%                                  syntax-table
          1,030   0%                                  #<byte-code-function C67>
        275,056   0%                              - seed7-line-code-ends-with
        275,056   0%                               - seed7-re-search-backward
        166,768   0%                                - run-with-timer
        166,768   0%                                 - run-at-time
         79,296   0%                                  - timer-activate
         79,296   0%                                   - timer--activate
         79,296   0%                                      timer--time-less-p
         51,072   0%                                    timer-relative-time
         32,256   0%                                  - timer-set-time
         32,256   0%                                     timer--time-setter
          4,144   0%                                    timer-create
         75,136   0%                                  re-search-backward
         16,576   0%                                  seed7-inside-string-p
          8,288   0%                                  make-closure
          8,288   0%                                - seed7-inside-comment-p
          8,288   0%                                 - syntax-ppss
          8,288   0%                                    make-closure
        159,424   0%                              - backward-sexp
        159,424   0%                               - forward-sexp
        159,424   0%                                - seed7--forward-sexp-function
         83,856   0%                                 - seed7--at-array-definition-end-line-p
         83,856   0%                                  - seed7-line-code-ends-with
         83,856   0%                                   - seed7-re-search-backward
         75,568   0%                                    - run-with-timer
         75,568   0%                                     - run-at-time
         43,776   0%                                        timer-relative-time
         31,792   0%                                      - timer-set-time
         31,792   0%                                         timer--time-setter
          4,144   0%                                      seed7-inside-string-p
          4,144   0%                                      seed7-inside-comment-p
         75,568   0%                                 - seed7--at-set-definition-end-line-p
         75,568   0%                                  - seed7-line-code-ends-with
         75,568   0%                                   - seed7-re-search-backward
         71,424   0%                                    - run-with-timer
         71,424   0%                                     - run-at-time
         43,776   0%                                        timer-relative-time
         27,648   0%                                      - timer-set-time
         27,648   0%                                         timer--time-setter
          4,144   0%                                      seed7-inside-string-p
         71,808   0%                                looking-at
    191,792,916   7%                             - seed7--block-end-pos-for
    191,106,950   7%                              - seed7-to-block-forward
     75,956,619   3%                               - seed7--current-line-nth-word
     70,823,341   2%                                - thing-at-point
     59,854,321   2%                                 - bounds-of-thing-at-point
     21,860,077   0%                                    make-closure
     14,540,289   0%                                  - #<byte-code-function 772>
     14,538,176   0%                                   - forward-thing
     14,534,784   0%                                      format
          3,392   0%                                      intern-soft
      7,311,490   0%                                  - #<byte-code-function D9D>
      7,308,312   0%                                   - forward-thing
      7,308,312   0%                                      format
      6,759,846   0%                                  - seq-some
      6,754,720   0%                                     make-closure
          2,757   0%                                     seq-do
