      6,825,844  99% - ...
      6,825,844  99%  - #<primitive-function call-interactively>
      6,825,844  99%   - funcall-interactively
      6,825,844  99%    - smex
      6,825,844  99%     - smex-read-and-run
      6,825,844  99%      - execute-extended-command
      6,825,844  99%       - command-execute
      6,825,844  99%        - call-interactively
      6,825,844  99%         - apply
      6,825,844  99%          - call-interactively@ido-cr+-record-current-command
      6,825,844  99%           - #<primitive-function call-interactively>
      6,825,844  99%            - funcall-interactively
      6,825,844  99%             - pel-profile-all
      6,825,844  99%              - pel-profile-dir
      6,825,844  99%               - pel-profile-indent
      6,825,844  99%                - pel-profile-indentation-test-of
      5,261,944  77%                 - call-interactively
      5,261,944  77%                  - apply
      5,261,944  77%                   - call-interactively@ido-cr+-record-current-command
      5,261,944  77%                    - #<primitive-function call-interactively>
      5,261,944  77%                     - funcall-interactively
      5,261,928  77%                      - seed7-complete-statement-or-indent
      5,261,928  77%                       - seed7-indent-region
      5,261,928  77%                        - seed7--indent-one-line
      5,261,928  77%                         - seed7-calc-indent
      2,862,989  41%                          - seed7-line-is-defun-end
      1,310,662  19%                           - seed7-end-of-defun
      1,140,288  16%                            - seed7-top-block-name
      1,140,288  16%                             - seed7--to-top
      1,085,112  15%                              - seed7-re-search-backward
      1,085,112  15%                               - run-with-timer
      1,085,112  15%                                - run-at-time
        529,112   7%                                 - timer-activate
        529,112   7%                                  - timer--activate
        529,112   7%                                     timer--time-less-p
        340,768   4%                                   timer-relative-time
        215,232   3%                                 - timer-set-time
        215,232   3%                                    timer--time-setter
         55,176   0%                              - run-with-timer
         55,176   0%                               - run-at-time
         26,904   0%                                - timer-activate
         26,904   0%                                 - timer--activate
         26,904   0%                                    timer--time-less-p
         17,328   0%                                  timer-relative-time
         10,944   0%                                - timer-set-time
         10,944   0%                                   timer--time-setter
         86,646   1%                            - seed7-re-search-forward
         47,734   0%                             - seed7-inside-comment-p
         47,734   0%                              - syntax-ppss
         47,734   0%                               - syntax-propertize
         47,734   0%                                  seed7-mode-syntax-propertize
         55,176   0%                            - seed7-re-search-backward
         55,176   0%                             - run-with-timer
         55,176   0%                              - run-at-time
         26,904   0%                               - timer-activate
         26,904   0%                                - timer--activate
         26,904   0%                                   timer--time-less-p
         17,328   0%                                 timer-relative-time
         10,944   0%                               - timer-set-time
         10,944   0%                                  timer--time-setter
      1,039,711  15%                           - seed7-line-starts-with-any
      1,039,711  15%                              seed7-line-starts-with
        466,408   6%                           - seed7-beg-of-defun
        196,816   2%                            - seed7-re-search-backward
        126,808   1%                             - run-with-timer
        126,808   1%                              - run-at-time
         61,832   0%                               - timer-activate
         61,832   0%                                - timer--activate
         61,832   0%                                   timer--time-less-p
         39,824   0%                                 timer-relative-time
         25,152   0%                               - timer-set-time
         25,152   0%                                  timer--time-setter
         70,008   1%                               re-search-backward
        120,559   1%                            - seed7-re-search-backward-closest
        120,559   1%                             - seed7-re-search-backward
         72,159   1%                                re-search-backward
         48,400   0%                              - run-with-timer
         48,400   0%                               - run-at-time
         23,600   0%                                - timer-activate
         23,600   0%                                 - timer--activate
         23,600   0%                                    timer--time-less-p
         15,200   0%                                  timer-relative-time
          9,600   0%                                - timer-set-time
          9,600   0%                                   timer--time-setter
         78,420   1%                            - seed7-top-block-name
         53,168   0%                             - seed7--to-top
         34,776   0%                              - seed7-re-search-backward
         18,392   0%                               - run-with-timer
         18,392   0%                                - run-at-time
          8,968   0%                                 - timer-activate
          8,968   0%                                  - timer--activate
          8,968   0%                                     timer--time-less-p
          5,776   0%                                   timer-relative-time
          3,648   0%                                 - timer-set-time
          3,648   0%                                    timer--time-setter
         16,384   0%                                 re-search-backward
         18,392   0%                              - run-with-timer
         18,392   0%                               - run-at-time
          8,968   0%                                - timer-activate
          8,968   0%                                 - timer--activate
          8,968   0%                                    timer--time-less-p
          5,776   0%                                  timer-relative-time
          3,648   0%                                - timer-set-time
          3,648   0%                                   timer--time-setter
         25,252   0%                             - seed7--block-name
         25,252   0%                                seed7-re-search-forward
