  1,224,687,299  99% - ...
  1,224,687,299  99%  - #<primitive-function call-interactively>
  1,224,687,299  99%   - funcall-interactively
  1,224,687,299  99%    - smex
  1,224,687,299  99%     - smex-read-and-run
  1,224,687,299  99%      - execute-extended-command
  1,224,687,299  99%       - command-execute
  1,224,687,299  99%        - call-interactively
  1,224,687,299  99%         - apply
  1,224,687,299  99%          - call-interactively@ido-cr+-record-current-command
  1,224,687,299  99%           - #<primitive-function call-interactively>
  1,224,687,299  99%            - funcall-interactively
  1,224,687,299  99%             - pel-profile-all
  1,224,687,299  99%              - pel-profile-dir
  1,224,687,299  99%               - pel-profile-indent
  1,224,687,299  99%                - pel-profile-indentation-test-of
  1,223,106,503  99%                 - call-interactively
  1,223,106,503  99%                  - apply
  1,223,106,503  99%                   - call-interactively@ido-cr+-record-current-command
  1,223,106,503  99%                    - #<primitive-function call-interactively>
  1,223,106,503  99%                     - funcall-interactively
  1,223,106,487  99%                      - seed7-complete-statement-or-indent
  1,223,106,487  99%                       - seed7-indent-region
  1,223,106,487  99%                        - seed7--indent-one-line
  1,223,106,487  99%                         - seed7-calc-indent
    492,395,926  40%                          - seed7-line-inside-parens-pair-column
    492,395,926  40%                           - seed7-line-inside-parens-pair
    483,408,954  39%                            - seed7-re-search-backward
    472,950,254  38%                             - run-with-timer
    472,950,254  38%                              - run-at-time
    264,960,935  21%                               - timer-activate
    264,960,935  21%                                - timer--activate
    264,960,935  21%                                 - timer--time-less-p
         33,884   0%                                    timer--time
    127,416,192  10%                                 timer-relative-time
     80,552,288   6%                               - timer-set-time
     80,551,552   6%                                  timer--time-setter
         20,720   0%                                 timer-create
            119   0%                                 timer-set-function
     10,130,403   0%                               re-search-backward
        181,804   0%                             - seed7-inside-comment-p
        152,796   0%                              - syntax-ppss
        131,168   0%                                 parse-partial-sexp
         16,576   0%                                 make-closure
          2,689   0%                                 #<byte-code-function 325>
          2,160   0%                                 syntax-table
        127,559   0%                             - seed7-inside-string-p
         61,255   0%                              - syntax-ppss
         32,792   0%                                 parse-partial-sexp
         24,864   0%                                 make-closure
          1,741   0%                                 syntax-table
             63   0%                                 #<byte-code-function 6D8>
         18,934   0%                               make-closure
      8,983,784   0%                            - forward-sexp
      8,983,784   0%                               seed7--forward-sexp-function
          3,188   0%                              seed7-move-to-line
    328,312,380  26%                          - seed7-line-inside-a-block-cached
    328,312,380  26%                           - seed7-line-inside-a-block
    176,392,214  14%                            - seed7-re-search-backward
    163,141,651  13%                             - run-with-timer
    163,141,651  13%                              - run-at-time
     91,436,307   7%                               - timer-activate
     91,436,307   7%                                - timer--activate
     91,436,307   7%                                 - timer--time-less-p
         65,584   0%                                    timer--time
     43,948,384   3%                                 timer-relative-time
     27,756,960   2%                               - timer-set-time
     27,756,960   2%                                  timer--time-setter
     13,175,877   1%                               re-search-backward
         36,936   0%                             - seed7-inside-comment-p
         36,936   0%                              - syntax-ppss
         32,792   0%                                 parse-partial-sexp
          4,144   0%                                 make-closure
         33,606   0%                             - seed7-inside-string-p
         33,606   0%                              - syntax-ppss
         32,792   0%                                 parse-partial-sexp
            757   0%                                 #<byte-code-function 3EB>
          4,144   0%                               make-closure
    118,977,467   9%                            - seed7--safe-enclosing-block-bounds
    118,977,467   9%                             - seed7--block-end-pos-for
    118,807,466   9%                              - seed7-to-block-forward
     56,373,856   4%                               - seed7--current-line-nth-word
     56,373,453   4%                                - thing-at-point
     32,413,351   2%                                 - bounds-of-thing-at-point
     20,766,593   1%                                  - #<byte-code-function F2E>
     20,763,693   1%                                   - forward-thing
     20,762,808   1%                                      format
            885   0%                                      intern-soft
     11,551,314   0%                                  - #<byte-code-function E26>
     11,549,486   0%                                   - forward-thing
     11,547,624   0%                                      format
          1,862   0%                                      intern-soft
         29,697   0%                                    re-search-forward
         16,576   0%                                    make-closure
         16,379   0%                                  - seq-some
         12,432   0%                                     make-closure
          1,609   0%                                     seq-do
     39,590,065   3%                               - seed7-re-search-forward
     17,015,833   1%                                - seed7-inside-comment-p
     17,015,833   1%                                 - syntax-ppss
     17,015,382   1%                                  - syntax-propertize
     17,015,382   1%                                     seed7-mode-syntax-propertize
            451   0%                                    syntax-table
          6,389   0%                                - seed7-inside-string-p
          2,245   0%                                 - syntax-ppss
          1,684   0%                                    #<byte-code-function 1FA>
      9,983,354   0%                               - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
          1,874   0%                                - seed7-inside-comment-p
            719   0%                                 - syntax-ppss
            719   0%                                    #<byte-code-function C36>
      7,461,585   0%                                 seed7--end-regexp-for
      5,359,441   0%                               - seed7-end-of-defun
      5,183,401   0%                                - seed7-top-block-name
      5,175,065   0%                                 - seed7--to-top
      5,035,193   0%                                  - seed7-re-search-backward
      4,744,992   0%                                   - run-with-timer
      4,744,992   0%                                    - run-at-time
      2,917,728   0%                                     - timer-activate
      2,917,728   0%                                      - timer--activate
      2,917,728   0%                                         timer--time-less-p
      1,119,936   0%                                       timer-relative-time
        707,328   0%                                     - timer-set-time
        707,328   0%                                        timer--time-setter
        288,153   0%                                   - seed7-inside-comment-p
        288,153   0%                                    - syntax-ppss
        288,153   0%                                     - syntax-propertize
        288,153   0%                                        seed7-mode-syntax-propertize
          2,048   0%                                     re-search-backward
        139,872   0%                                  - run-with-timer
        139,872   0%                                   - run-at-time
         78,368   0%                                    - timer-activate
         78,368   0%                                     - timer--activate
         78,368   0%                                        timer--time-less-p
         37,696   0%                                      timer-relative-time
         23,808   0%                                    - timer-set-time
         23,808   0%                                       timer--time-setter
          8,336   0%                                 - seed7--block-name
          5,288   0%                                    seed7-re-search-forward
          3,048   0%                                    match-string
        139,872   0%                                - seed7-re-search-backward
        139,872   0%                                 - run-with-timer
        139,872   0%                                  - run-at-time
         78,368   0%                                   - timer-activate
         78,368   0%                                    - timer--activate
         78,368   0%                                       timer--time-less-p
         37,696   0%                                     timer-relative-time
         23,808   0%                                   - timer-set-time
         23,808   0%                                      timer--time-setter
         12,192   0%                                  match-string
          8,192   0%                                  seed7-re-search-forward
         33,041   0%                               - seed7-inside-comment-p
         32,999   0%                                - syntax-ppss
         32,792   0%                                   parse-partial-sexp
            207   0%                                   syntax-table
          6,124   0%                               - seed7-inside-line-indent-before-comment-p
          1,980   0%                                  seed7-to-indent
        103,168   0%                              - seed7--line-ends-a-statement-p
        103,168   0%                                 looking-at
          1,024   0%                              - seed7-re-search-forward-closest
          1,024   0%                                 seed7-re-search-forward
     20,022,811   1%                            - replace-regexp-in-string
      1,771,050   0%                               concat
      7,725,584   0%                              match-string
      2,713,696   0%                              seed7--indent-offset-for
        351,752   0%                            - seed7-calc-indent
         85,264   0%                             - seed7-line-at-endof-array-definition-block
         44,264   0%                              - seed7-line-code-ends-with
         44,264   0%                               - seed7-re-search-backward
         24,816   0%                                - run-with-timer
         24,816   0%                                 - run-at-time
         13,904   0%                                  - timer-activate
         13,904   0%                                   - timer--activate
         13,904   0%                                      timer--time-less-p
          6,688   0%                                    timer-relative-time
          4,224   0%                                  - timer-set-time
          4,224   0%                                     timer--time-setter
         19,448   0%                                  re-search-backward
         28,088   0%                              - backward-sexp
         28,088   0%                               - forward-sexp
         28,088   0%                                - seed7--forward-sexp-function
         13,536   0%                                 - seed7--at-array-definition-end-line-p
         13,536   0%                                  - seed7-line-code-ends-with
         13,536   0%                                   - seed7-re-search-backward
         13,536   0%                                    - run-with-timer
         13,536   0%                                     - run-at-time
          7,584   0%                                      - timer-activate
          7,584   0%                                       - timer--activate
          7,584   0%                                          timer--time-less-p
          3,648   0%                                        timer-relative-time
          2,304   0%                                      - timer-set-time
          2,304   0%                                         timer--time-setter
         13,536   0%                                 - seed7--at-set-definition-end-line-p
         13,536   0%                                  - seed7-line-code-ends-with
         13,536   0%                                   - seed7-re-search-backward
         13,536   0%                                    - run-with-timer
         13,536   0%                                     - run-at-time
          7,584   0%                                      - timer-activate
          7,584   0%                                       - timer--activate
          7,584   0%                                          timer--time-less-p
          3,648   0%                                        timer-relative-time
          2,304   0%                                      - timer-set-time
          2,304   0%                                         timer--time-setter
          6,768   0%                              - seed7-re-search-backward
          6,768   0%                               - run-with-timer
          6,768   0%                                - run-at-time
          3,792   0%                                 - timer-activate
          3,792   0%                                  - timer--activate
          3,792   0%                                     timer--time-less-p
          1,824   0%                                   timer-relative-time
          1,152   0%                                 - timer-set-time
          1,152   0%                                    timer--time-setter
          6,144   0%                                looking-at
         45,288   0%                             - seed7-line-inside-a-block-cached
         45,288   0%                              - seed7-line-inside-a-block
         27,888   0%                               - seed7-re-search-backward
         24,816   0%                                - run-with-timer
         24,816   0%                                 - run-at-time
         13,904   0%                                  - timer-activate
         13,904   0%                                   - timer--activate
         13,904   0%                                      timer--time-less-p
          6,688   0%                                    timer-relative-time
          4,224   0%                                  - timer-set-time
          4,224   0%                                     timer--time-setter
          3,072   0%                                  re-search-backward
         13,312   0%                               - seed7--safe-enclosing-block-bounds
         13,312   0%                                - seed7--block-end-pos-for
          3,072   0%                                 - seed7--line-ends-a-statement-p
          3,072   0%                                    looking-at
          2,048   0%                                 - seed7-to-block-forward
          1,024   0%                                    seed7-inside-line-trailing-whitespace-before-line-end-comment-p
          1,024   0%                                    seed7-re-search-forward
          2,048   0%                                 - seed7-re-search-forward-closest
          2,048   0%                                    seed7-re-search-forward
          3,072   0%                                 replace-regexp-in-string
          1,016   0%                                 match-string
         33,160   0%                             - seed7-line-after-short-func-end
         19,368   0%                              - seed7-to-block-backward
         19,368   0%                               - seed7-re-search-backward
         10,152   0%                                - run-with-timer
         10,152   0%                                 - run-at-time
          5,688   0%                                  - timer-activate
          5,688   0%                                   - timer--activate
          5,688   0%                                      timer--time-less-p
          2,736   0%                                    timer-relative-time
          1,728   0%                                  - timer-set-time
          1,728   0%                                     timer--time-setter
          9,216   0%                                  re-search-backward
         29,672   0%                             - seed7-line-is-defun-end
         25,584   0%                                looking-back
          3,072   0%                              - seed7-move-to-line
          3,072   0%                                 seed7-to-previous-non-empty-line
          1,016   0%                              - seed7--current-line-nth-word
          1,016   0%                                 thing-at-point
         24,816   0%                             - seed7-line-at-endof-set-definition-block
         24,816   0%                              - seed7-line-code-ends-with
         24,816   0%                               - seed7-re-search-backward
         24,816   0%                                - run-with-timer
         24,816   0%                                 - run-at-time
         13,904   0%                                  - timer-activate
         13,904   0%                                   - timer--activate
         13,904   0%                                      timer--time-less-p
          6,688   0%                                    timer-relative-time
          4,224   0%                                  - timer-set-time
          4,224   0%                                     timer--time-setter
         24,312   0%                             - seed7-line-inside-array-definition-block
         24,312   0%                              - seed7-re-search-backward
         12,408   0%                               - run-with-timer
         12,408   0%                                - run-at-time
          6,952   0%                                 - timer-activate
          6,952   0%                                  - timer--activate
          6,952   0%                                     timer--time-less-p
          3,344   0%                                   timer-relative-time
          2,112   0%                                 - timer-set-time
          2,112   0%                                    timer--time-setter
         11,904   0%                                 re-search-backward
         23,992   0%                             - seed7-line-inside-set-definition-block
         23,992   0%                              - seed7-re-search-backward
         12,408   0%                               - run-with-timer
         12,408   0%                                - run-at-time
          6,952   0%                                 - timer-activate
          6,952   0%                                  - timer--activate
          6,952   0%                                     timer--time-less-p
          3,344   0%                                   timer-relative-time
          2,112   0%                                 - timer-set-time
          2,112   0%                                    timer--time-setter
         11,584   0%                                 re-search-backward
         23,672   0%                             - seed7-line-inside-assign-statement-continuation
         23,672   0%                              - seed7-assign-op-pos
         23,672   0%                               - seed7-re-search-backward
         12,408   0%                                - run-with-timer
         12,408   0%                                 - run-at-time
          6,952   0%                                  - timer-activate
          6,952   0%                                   - timer--activate
          6,952   0%                                      timer--time-less-p
          3,344   0%                                    timer-relative-time
          2,112   0%                                  - timer-set-time
          2,112   0%                                     timer--time-setter
         11,264   0%                                  re-search-backward
         19,680   0%                             - seed7-line-inside-parens-pair-column
         19,680   0%                              - seed7-line-inside-parens-pair
         15,584   0%                               - seed7-re-search-backward
         13,536   0%                                - run-with-timer
         13,536   0%                                 - run-at-time
          7,584   0%                                  - timer-activate
          7,584   0%                                   - timer--activate
          7,584   0%                                      timer--time-less-p
          3,648   0%                                    timer-relative-time
          2,304   0%                                  - timer-set-time
          2,304   0%                                     timer--time-setter
          2,048   0%                                  re-search-backward
          4,096   0%                               - forward-sexp
          4,096   0%                                  seed7--forward-sexp-function
         11,264   0%                             - seed7-line-isa-string
         11,264   0%                                seed7-line-starts-with
         11,264   0%                               seed7-line-starts-with
         10,152   0%                             - seed7-line-at-endof-parenthesized-statement
          4,512   0%                              - seed7-line-code-ends-with
          4,512   0%                               - seed7-re-search-backward
          4,512   0%                                - run-with-timer
          4,512   0%                                 - run-at-time
          2,528   0%                                  - timer-activate
          2,528   0%                                   - timer--activate
          2,528   0%                                      timer--time-less-p
          1,216   0%                                    timer-relative-time
            768   0%                                  - timer-set-time
            768   0%                                     timer--time-setter
          4,512   0%                              - backward-sexp
          4,512   0%                               - forward-sexp
          4,512   0%                                - seed7--forward-sexp-function
          2,256   0%                                 - seed7--at-array-definition-end-line-p
          2,256   0%                                  - seed7-line-code-ends-with
          2,256   0%                                   - seed7-re-search-backward
          2,256   0%                                    - run-with-timer
          2,256   0%                                     - run-at-time
          1,264   0%                                      - timer-activate
          1,264   0%                                       - timer--activate
          1,264   0%                                          timer--time-less-p
            608   0%                                        timer-relative-time
            384   0%                                      - timer-set-time
            384   0%                                         timer--time-setter
          2,256   0%                                 - seed7--at-set-definition-end-line-p
          2,256   0%                                  - seed7-line-code-ends-with
          2,256   0%                                   - seed7-re-search-backward
          2,256   0%                                    - run-with-timer
          2,256   0%                                     - run-at-time
          1,264   0%                                      - timer-activate
          1,264   0%                                       - timer--activate
          1,264   0%                                          timer--time-less-p
            608   0%                                        timer-relative-time
            384   0%                                      - timer-set-time
            384   0%                                         timer--time-setter
          1,128   0%                              - seed7-re-search-backward
          1,128   0%                               - run-with-timer
          1,128   0%                                - run-at-time
            632   0%                                 - timer-activate
            632   0%                                  - timer--activate
            632   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          5,120   0%                               seed7-line-after-func-return-logic-operator-column
          2,048   0%                             - seed7-line-starts-with-open-paren-after-logic-operator
          2,048   0%                                seed7-line-starts-with
          2,048   0%                               seed7-line-indent-step
     90,815,345   7%                          - seed7-line-is-defun-end
     34,083,454   2%                           - seed7-line-starts-with-any
     34,083,454   2%                              seed7-line-starts-with
     32,561,412   2%                             looking-back
      9,977,744   0%                           - seed7-move-to-line
      9,977,744   0%                              seed7-to-previous-non-empty-line
      8,740,280   0%                           - seed7-end-of-defun
      7,743,624   0%                            - seed7-top-block-name
      7,720,144   0%                             - seed7--to-top
      7,483,264   0%                              - seed7-re-search-backward
      7,483,264   0%                               - run-with-timer
      7,483,264   0%                                - run-at-time
      4,601,520   0%                                 - timer-activate
      4,601,520   0%                                  - timer--activate
      4,601,520   0%                                     timer--time-less-p
      1,766,224   0%                                   timer-relative-time
      1,115,520   0%                                 - timer-set-time
      1,115,520   0%                                    timer--time-setter
        236,880   0%                              - run-with-timer
        236,880   0%                               - run-at-time
        132,720   0%                                - timer-activate
        132,720   0%                                 - timer--activate
        132,720   0%                                    timer--time-less-p
         63,840   0%                                  timer-relative-time
         40,320   0%                                - timer-set-time
         40,320   0%                                   timer--time-setter
         23,480   0%                             - seed7--block-name
         15,296   0%                                match-string
        342,544   0%                            - seed7-re-search-forward
        198,928   0%                             - seed7-inside-comment-p
        198,928   0%                              - syntax-ppss
        198,928   0%                               - syntax-propertize
        198,928   0%                                  seed7-mode-syntax-propertize
        236,880   0%                            - seed7-re-search-backward
        236,880   0%                             - run-with-timer
        236,880   0%                              - run-at-time
        132,720   0%                               - timer-activate
        132,720   0%                                - timer--activate
        132,720   0%                                   timer--time-less-p
         63,840   0%                                 timer-relative-time
         40,320   0%                               - timer-set-time
         40,320   0%                                  timer--time-setter
        145,512   0%                              match-string
        114,576   0%                              match-string-no-properties
      3,437,648   0%                           - seed7-beg-of-defun
      1,831,837   0%                            - seed7-re-search-backward
      1,640,112   0%                             - run-with-timer
      1,640,112   0%                              - run-at-time
        918,928   0%                               - timer-activate
        918,928   0%                                - timer--activate
        918,928   0%                                   timer--time-less-p
        442,016   0%                                 timer-relative-time
        279,168   0%                               - timer-set-time
        279,168   0%                                  timer--time-setter
        191,725   0%                               re-search-backward
        502,677   0%                            - seed7-top-block-name
        266,997   0%                             - seed7--to-top
        188,037   0%                              - seed7-re-search-backward
         97,877   0%                                 re-search-backward
         90,160   0%                               - run-with-timer
         90,160   0%                                - run-at-time
         55,440   0%                                 - timer-activate
         55,440   0%                                  - timer--activate
         55,440   0%                                     timer--time-less-p
         21,280   0%                                   timer-relative-time
         13,440   0%                                 - timer-set-time
         13,440   0%                                    timer--time-setter
         78,960   0%                              - run-with-timer
         78,960   0%                               - run-at-time
         44,240   0%                                - timer-activate
         44,240   0%                                 - timer--activate
         44,240   0%                                    timer--time-less-p
         21,280   0%                                  timer-relative-time
         13,440   0%                                - timer-set-time
         13,440   0%                                   timer--time-setter
        235,680   0%                             - seed7--block-name
        224,448   0%                                seed7-re-search-forward
          3,048   0%                                match-string
        475,539   0%                            - seed7-re-search-backward-closest
        475,539   0%                             - seed7-re-search-backward
        304,083   0%                                re-search-backward
        171,456   0%                              - run-with-timer
        171,456   0%                               - run-at-time
         96,064   0%                                - timer-activate
         96,064   0%                                 - timer--activate
         96,064   0%                                    timer--time-less-p
         46,208   0%                                  timer-relative-time
         29,184   0%                                - timer-set-time
         29,184   0%                                   timer--time-setter
         60,112   0%                              match-string
         24,552   0%                              match-string-no-properties
          8,184   0%                            - user-error
          8,184   0%                               format-message
