  4,935,660,191  99% - ...
  4,935,660,191  99%  - #<primitive-function call-interactively>
  4,935,660,191  99%   - funcall-interactively
  4,935,660,191  99%    - smex
  4,935,660,191  99%     - smex-read-and-run
  4,935,660,191  99%      - execute-extended-command
  4,935,660,191  99%       - command-execute
  4,935,660,191  99%        - call-interactively
  4,935,660,191  99%         - apply
  4,935,660,191  99%          - call-interactively@ido-cr+-record-current-command
  4,935,660,191  99%           - #<primitive-function call-interactively>
  4,935,660,191  99%            - funcall-interactively
  4,935,660,191  99%             - pel-profile-all
  4,935,660,191  99%              - pel-profile-dir
  4,935,660,191  99%               - pel-profile-indent
  4,935,660,191  99%                - pel-profile-indentation-test-of
  4,934,056,867  99%                 - call-interactively
  4,934,056,867  99%                  - apply
  4,934,056,867  99%                   - call-interactively@ido-cr+-record-current-command
  4,934,056,867  99%                    - #<primitive-function call-interactively>
  4,934,056,867  99%                     - funcall-interactively
  4,934,056,851  99%                      - seed7-complete-statement-or-indent
  4,934,056,851  99%                       - seed7-indent-region
  4,934,056,851  99%                        - seed7--indent-one-line
  4,933,908,387  99%                         - seed7-calc-indent
  3,027,144,510  61%                          - seed7-line-inside-parens-pair-column
  3,027,144,510  61%                           - seed7-line-inside-parens-pair
  3,003,138,710  60%                            - seed7-re-search-backward
  2,949,694,868  59%                             - run-with-timer
  2,949,694,868  59%                              - run-at-time
  1,653,764,697  33%                               - timer-activate
  1,653,764,697  33%                                - timer--activate
  1,653,633,529  33%                                 - timer--time-less-p
      2,132,741   0%                                    timer--time
    791,502,046  16%                                 timer-relative-time
    500,805,609  10%                               - timer-set-time
    500,794,704  10%                                  timer--time-setter
      3,621,856   0%                                 timer-create
            660   0%                                 timer-set-function
     35,589,979   0%                               re-search-backward
      9,887,216   0%                             - seed7-inside-string-p
      3,560,768   0%                              - syntax-ppss
      2,788,912   0%                                 make-closure
        754,216   0%                                 parse-partial-sexp
            548   0%                                 syntax-table
              3   0%                                 #<byte-code-function E03>
      5,020,349   0%                             - seed7-inside-comment-p
      3,400,045   0%                              - syntax-ppss
      2,677,024   0%                                 make-closure
        655,840   0%                                 parse-partial-sexp
            385   0%                                 #<byte-code-function 99A>
