  1,218,160,743  99% - ...
  1,218,160,743  99%  - #<primitive-function call-interactively>
  1,218,160,743  99%   - funcall-interactively
  1,218,160,743  99%    - smex
  1,218,160,743  99%     - smex-read-and-run
  1,218,160,743  99%      - execute-extended-command
  1,218,160,743  99%       - command-execute
  1,218,160,743  99%        - call-interactively
  1,218,160,743  99%         - apply
  1,218,160,743  99%          - call-interactively@ido-cr+-record-current-command
  1,218,160,743  99%           - #<primitive-function call-interactively>
  1,218,160,743  99%            - funcall-interactively
  1,218,160,743  99%             - pel-profile-all
  1,218,160,743  99%              - pel-profile-dir
  1,218,160,743  99%               - pel-profile-indent
  1,218,160,743  99%                - pel-profile-indentation-test-of
  1,216,579,947  99%                 - call-interactively
  1,216,579,947  99%                  - apply
  1,216,579,947  99%                   - call-interactively@ido-cr+-record-current-command
  1,216,579,947  99%                    - #<primitive-function call-interactively>
  1,216,579,947  99%                     - funcall-interactively
  1,216,579,931  99%                      - seed7-complete-statement-or-indent
  1,216,579,931  99%                       - seed7-indent-region
  1,216,579,931  99%                        - seed7--indent-one-line
  1,216,579,931  99%                         - seed7-calc-indent
    492,321,769  40%                          - seed7-line-inside-parens-pair-column
    492,321,769  40%                           - seed7-line-inside-parens-pair
    483,318,884  39%                            - seed7-re-search-backward
    472,871,714  38%                             - run-with-timer
    472,871,714  38%                              - run-at-time
    264,950,697  21%                               - timer-activate
    264,950,697  21%                                - timer--activate
    264,950,697  21%                                 - timer--time-less-p
          2,132   0%                                    timer--time
    127,416,637  10%                                 timer-relative-time
     80,481,824   6%                               - timer-set-time
     80,481,824   6%                                  timer--time-setter
         20,720   0%                                 timer-create
          1,836   0%                                 timer-set-function
     10,083,720   0%                               re-search-backward
        206,691   0%                             - seed7-inside-string-p
         82,371   0%                              - syntax-ppss
         45,584   0%                                 make-closure
         32,792   0%                                 parse-partial-sexp
        140,183   0%                             - seed7-inside-comment-p
         94,599   0%                              - syntax-ppss
         65,584   0%                                 parse-partial-sexp
         29,008   0%                                 make-closure
              7   0%                                 #<byte-code-function BB0>
         16,576   0%                               make-closure
      8,970,093   0%                            - forward-sexp
      8,968,056   0%                               seed7--forward-sexp-function
    328,009,700  26%                          - seed7-line-inside-a-block-cached
    328,009,700  26%                           - seed7-line-inside-a-block
    176,540,081  14%                            - seed7-re-search-backward
    163,203,670  13%                             - run-with-timer
    163,203,670  13%                              - run-at-time
     91,415,942   7%                               - timer-activate
     91,415,942   7%                                - timer--activate
     91,415,942   7%                                 - timer--time-less-p
         32,792   0%                                    timer--time
     43,981,304   3%                                 timer-relative-time
     27,789,848   2%                               - timer-set-time
     27,789,848   2%                                  timer--time-setter
         16,576   0%                                 timer-create
     13,160,588   1%                               re-search-backward
        134,743   0%                             - seed7-inside-string-p
         68,799   0%                              - syntax-ppss
         65,584   0%                                 parse-partial-sexp
          1,174   0%                                 #<byte-code-function 611>
         41,080   0%                             - seed7-inside-comment-p
         36,936   0%                              - syntax-ppss
         32,792   0%                                 parse-partial-sexp
          4,144   0%                                 make-closure
    119,822,007   9%                            - seed7--safe-enclosing-block-bounds
    119,817,116   9%                             - seed7--block-end-pos-for
    119,647,076   9%                              - seed7-to-block-forward
     56,039,301   4%                               - seed7--current-line-nth-word
     56,009,581   4%                                - thing-at-point
     32,209,628   2%                                 - bounds-of-thing-at-point
     20,872,489   1%                                  - #<byte-code-function 023>
     20,870,296   1%                                   - forward-thing
     20,869,200   1%                                      format
          1,096   0%                                      intern-soft
     11,228,858   0%                                  - #<byte-code-function 00A>
     11,228,448   0%                                   - forward-thing
     11,228,448   0%                                      format
         49,728   0%                                    make-closure
         30,027   0%                                    re-search-forward
         16,094   0%                                  - seq-some
         12,432   0%                                     make-closure
          1,691   0%                                     seq-do
     39,419,894   3%                               - seed7-re-search-forward
     16,903,584   1%                                - seed7-inside-comment-p
     16,899,440   1%                                 - syntax-ppss
     16,894,363   1%                                  - syntax-propertize
     16,894,363   1%                                     seed7-mode-syntax-propertize
          4,144   0%                                    make-closure
            619   0%                                    syntax-table
            314   0%                                    #<byte-code-function 9EC>
         63,726   0%                                - seed7-inside-string-p
         10,214   0%                                 - syntax-ppss
          8,288   0%                                    make-closure
            436   0%                                    #<byte-code-function 835>
      9,992,335   0%                               - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
         17,800   0%                                - seed7-inside-line-indent-before-comment-p
          1,224   0%                                   seed7-to-indent
          8,783   0%                                - seed7-inside-comment-p
          4,639   0%                                 - syntax-ppss
          4,144   0%                                    make-closure
            495   0%                                    syntax-table
      8,732,341   0%                                 seed7--end-regexp-for
      5,423,332   0%                               - seed7-end-of-defun
      5,181,580   0%                                - seed7-top-block-name
      5,164,153   0%                                 - seed7--to-top
      5,024,281   0%                                  - seed7-re-search-backward
      4,744,992   0%                                   - run-with-timer
      4,744,992   0%                                    - run-at-time
      2,917,728   0%                                     - timer-activate
      2,917,728   0%                                      - timer--activate
      2,917,728   0%                                         timer--time-less-p
      1,119,936   0%                                       timer-relative-time
        707,328   0%                                     - timer-set-time
        707,328   0%                                        timer--time-setter
        276,921   0%                                   - seed7-inside-comment-p
        276,921   0%                                    - syntax-ppss
