      9,838,810  99% - ...
      9,838,810  99%  - #<primitive-function call-interactively>
      9,838,810  99%   - funcall-interactively
      9,838,810  99%    - smex
      9,838,810  99%     - smex-read-and-run
      9,838,810  99%      - execute-extended-command
      9,838,810  99%       - command-execute
      9,838,810  99%        - call-interactively
      9,838,810  99%         - apply
      9,838,810  99%          - call-interactively@ido-cr+-record-current-command
      9,838,810  99%           - #<primitive-function call-interactively>
      9,838,810  99%            - funcall-interactively
      9,838,810  99%             - pel-profile-all
      9,838,810  99%              - pel-profile-dir
      9,838,810  99%               - pel-profile-indent
      9,838,810  99%                - pel-profile-indentation-test-of
      8,274,910  83%                 - call-interactively
      8,274,910  83%                  - apply
      8,274,910  83%                   - call-interactively@ido-cr+-record-current-command
      8,274,910  83%                    - #<primitive-function call-interactively>
      8,274,910  83%                     - funcall-interactively
      8,274,894  83%                      - seed7-complete-statement-or-indent
      8,274,894  83%                       - seed7-indent-region
      8,274,894  83%                        - seed7--indent-one-line
      8,274,894  83%                         - seed7-calc-indent
      1,823,180  18%                          - seed7-line-is-defun-end
        461,481   4%                           - seed7-end-of-defun
        348,480   3%                            - seed7-top-block-name
        348,480   3%                             - seed7--to-top
        313,632   3%                              - seed7-re-search-backward
        313,632   3%                               - run-with-timer
        313,632   3%                                - run-at-time
        152,928   1%                                 - timer-activate
        152,928   1%                                  - timer--activate
        152,928   1%                                     timer--time-less-p
         98,496   0%                                   timer-relative-time
         62,208   0%                                 - timer-set-time
         62,208   0%                                    timer--time-setter
         34,848   0%                              - run-with-timer
         34,848   0%                               - run-at-time
         16,992   0%                                - timer-activate
         16,992   0%                                 - timer--activate
         16,992   0%                                    timer--time-less-p
         10,944   0%                                  timer-relative-time
          6,912   0%                                - timer-set-time
          6,912   0%                                   timer--time-setter
         43,521   0%                            - seed7-re-search-forward
         18,945   0%                             - seed7-inside-comment-p
         18,945   0%                              - syntax-ppss
         18,945   0%                               - syntax-propertize
         18,945   0%                                  seed7-mode-syntax-propertize
         34,848   0%                            - seed7-re-search-backward
         34,848   0%                             - run-with-timer
         34,848   0%                              - run-at-time
         16,992   0%                               - timer-activate
         16,992   0%                                - timer--activate
         16,992   0%                                   timer--time-less-p
         10,944   0%                                 timer-relative-time
          6,912   0%                               - timer-set-time
          6,912   0%                                  timer--time-setter
          8,184   0%                              match-string-no-properties
        412,346   4%                           - seed7-line-starts-with-any
        412,346   4%                              seed7-line-starts-with
        400,821   4%                           - seed7-beg-of-defun
        108,237   1%                            - seed7-re-search-backward
         58,080   0%                             - run-with-timer
         58,080   0%                              - run-at-time
         28,320   0%                               - timer-activate
         28,320   0%                                - timer--activate
         28,320   0%                                   timer--time-less-p
         18,240   0%                                 timer-relative-time
         11,520   0%                               - timer-set-time
         11,520   0%                                  timer--time-setter
         50,157   0%                               re-search-backward
         98,522   0%                            - seed7-re-search-backward-closest
         98,522   0%                             - seed7-re-search-backward
         59,802   0%                                re-search-backward
         38,720   0%                              - run-with-timer
         38,720   0%                               - run-at-time
         18,880   0%                                - timer-activate
         18,880   0%                                 - timer--activate
         18,880   0%                                    timer--time-less-p
         12,160   0%                                  timer-relative-time
          7,680   0%                                - timer-set-time
          7,680   0%                                   timer--time-setter
         54,462   0%                            - seed7-top-block-name
         36,672   0%                             - seed7--to-top
         25,056   0%                              - seed7-re-search-backward
         13,440   0%                                 re-search-backward
         11,616   0%                               - run-with-timer
         11,616   0%                                - run-at-time
          5,664   0%                                 - timer-activate
          5,664   0%                                  - timer--activate
          5,664   0%                                     timer--time-less-p
          3,648   0%                                   timer-relative-time
          2,304   0%                                 - timer-set-time
          2,304   0%                                    timer--time-setter
         11,616   0%                              - run-with-timer
         11,616   0%                               - run-at-time
          5,664   0%                                - timer-activate
          5,664   0%                                 - timer--activate
          5,664   0%                                    timer--time-less-p
          3,648   0%                                  timer-relative-time
          2,304   0%                                - timer-set-time
          2,304   0%                                   timer--time-setter
         17,790   0%                             - seed7--block-name
         17,790   0%                                seed7-re-search-forward
         24,552   0%                              match-string-no-properties
        379,736   3%                             looking-back
        112,640   1%                           - seed7-move-to-line
        112,640   1%                              seed7-to-previous-non-empty-line
         30,696   0%                           - seed7--current-line-nth-word
         30,696   0%                            - thing-at-point
         22,512   0%                             - bounds-of-thing-at-point
          8,184   0%                              - #<byte-code-function D7F>
          8,184   0%                               - forward-thing
          8,184   0%                                  format
          8,184   0%                              - #<byte-code-function 0E0>
          8,184   0%                               - forward-thing
          8,184   0%                                  format
          6,144   0%                                re-search-forward
         25,460   0%                           - seed7--safe-current-line-defun-start-indent
         25,460   0%                            - seed7-to-block-backward
         17,276   0%                             - seed7-re-search-backward
         10,648   0%                              - run-with-timer
         10,648   0%                               - run-at-time
          5,192   0%                                - timer-activate
          5,192   0%                                 - timer--activate
          5,192   0%                                    timer--time-less-p
          3,344   0%                                  timer-relative-time
          2,112   0%                                - timer-set-time
          2,112   0%                                   timer--time-setter
          6,628   0%                                re-search-backward
          8,184   0%                             - seed7--start-regexp-for
          8,184   0%                                seed7--type-regexp
      1,570,032  15%                          - seed7-line-inside-a-block-cached
      1,570,032  15%                           - seed7-line-inside-a-block
        908,709   9%                            - seed7--safe-enclosing-block-bounds
        908,709   9%                             - seed7--block-end-pos-for
        816,557   8%                              - seed7-to-block-forward
        484,938   4%                               - seed7-end-of-defun
        392,777   3%                                - seed7-top-block-name
        377,856   3%                                 - seed7--to-top
        337,200   3%                                  - seed7-re-search-backward
        331,056   3%                                   - run-with-timer
        331,056   3%                                    - run-at-time
        161,424   1%                                     - timer-activate
        161,424   1%                                      - timer--activate
        161,424   1%                                         timer--time-less-p
        103,968   1%                                       timer-relative-time
         65,664   0%                                     - timer-set-time
         65,664   0%                                        timer--time-setter
          4,096   0%                                     re-search-backward
          2,048   0%                                   - seed7-inside-comment-p
          2,048   0%                                    - syntax-ppss
          2,048   0%                                     - syntax-propertize
          2,048   0%                                        seed7-mode-syntax-propertize
         40,656   0%                                  - run-with-timer
         40,656   0%                                   - run-at-time
         19,824   0%                                    - timer-activate
         19,824   0%                                     - timer--activate
         19,824   0%                                        timer--time-less-p
         12,768   0%                                      timer-relative-time
          8,064   0%                                    - timer-set-time
          8,064   0%                                       timer--time-setter
         14,921   0%                                 - seed7--block-name
          8,184   0%                                    match-string
          6,737   0%                                    seed7-re-search-forward
         40,656   0%                                - seed7-re-search-backward
         40,656   0%                                 - run-with-timer
         40,656   0%                                  - run-at-time
         19,824   0%                                   - timer-activate
         19,824   0%                                    - timer--activate
         19,824   0%                                       timer--time-less-p
         12,768   0%                                     timer-relative-time
          8,064   0%                                   - timer-set-time
          8,064   0%                                      timer--time-setter
         38,193   0%                                - seed7-re-search-forward
          5,693   0%                                 - internal--syntax-propertize
          5,693   0%                                  - syntax-propertize
          5,693   0%                                     seed7-mode-syntax-propertize
        158,611   1%                                 seed7-re-search-forward
        115,712   1%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
         57,296   0%                               - seed7--current-line-nth-word
         57,296   0%                                - thing-at-point
         49,112   0%                                 - bounds-of-thing-at-point
         24,552   0%                                  - #<byte-code-function 3CD>
         24,552   0%                                   - forward-thing
         24,552   0%                                      format
         16,368   0%                                  - #<byte-code-function 76D>
         16,368   0%                                   - forward-thing
         16,368   0%                                      format
          8,192   0%                                    re-search-forward
         51,200   0%                              - seed7--line-ends-a-statement-p
         43,008   0%                                 looking-at
          8,192   0%                               - forward-sexp
          8,192   0%                                  seed7--forward-sexp-function
          5,120   0%                              - seed7-re-search-forward-closest
          5,120   0%                                 seed7-re-search-forward
        296,280   3%                            - seed7-re-search-backward
        166,496   1%                             - run-with-timer
        166,496   1%                              - run-at-time
         81,184   0%                               - timer-activate
         81,184   0%                                - timer--activate
         81,184   0%                                   timer--time-less-p
         52,288   0%                                 timer-relative-time
         33,024   0%                               - timer-set-time
         33,024   0%                                  timer--time-setter
        129,784   1%                               re-search-backward
        185,635   1%                            - seed7-calc-indent
         78,784   0%                             - seed7-line-inside-a-block-cached
         78,784   0%                              - seed7-line-inside-a-block
         66,944   0%                               - seed7--safe-enclosing-block-bounds
         66,944   0%                                - seed7--block-end-pos-for
         46,280   0%                                 - seed7-to-block-forward
         43,208   0%                                  - seed7-end-of-defun
         31,088   0%                                   - seed7-top-block-name
         30,064   0%                                    - seed7--to-top
         27,160   0%                                     - seed7-re-search-backward
         26,136   0%                                      - run-with-timer
         26,136   0%                                       - run-at-time
         12,744   0%                                        - timer-activate
         12,744   0%                                         - timer--activate
         12,744   0%                                            timer--time-less-p
          8,208   0%                                          timer-relative-time
          5,184   0%                                        - timer-set-time
          5,184   0%                                           timer--time-setter
          1,024   0%                                        re-search-backward
          2,904   0%                                     - run-with-timer
          2,904   0%                                      - run-at-time
          1,416   0%                                       - timer-activate
          1,416   0%                                        - timer--activate
          1,416   0%                                           timer--time-less-p
            912   0%                                         timer-relative-time
            576   0%                                       - timer-set-time
            576   0%                                          timer--time-setter
          1,024   0%                                    - seed7--block-name
          1,024   0%                                       seed7-re-search-forward
          6,144   0%                                   - seed7-re-search-forward
          2,048   0%                                    - seed7-inside-comment-p
          2,048   0%                                     - syntax-ppss
          2,048   0%                                      - syntax-propertize
          2,048   0%                                         seed7-mode-syntax-propertize
          2,904   0%                                   - seed7-re-search-backward
          2,904   0%                                    - run-with-timer
          2,904   0%                                     - run-at-time
          1,416   0%                                      - timer-activate
          1,416   0%                                       - timer--activate
          1,416   0%                                          timer--time-less-p
            912   0%                                        timer-relative-time
            576   0%                                      - timer-set-time
            576   0%                                         timer--time-setter
          2,048   0%                                    seed7-inside-line-trailing-whitespace-before-line-end-comment-p
          1,024   0%                                    seed7-re-search-forward
         14,520   0%                                 - seed7--line-ends-a-statement-p
         14,520   0%                                    looking-at
          1,024   0%                                 - seed7-re-search-forward-closest
          1,024   0%                                    seed7-re-search-forward
          9,792   0%                               - seed7-re-search-backward
          7,744   0%                                - run-with-timer
          7,744   0%                                 - run-at-time
          3,776   0%                                  - timer-activate
          3,776   0%                                   - timer--activate
          3,776   0%                                      timer--time-less-p
          2,432   0%                                    timer-relative-time
          1,536   0%                                  - timer-set-time
          1,536   0%                                     timer--time-setter
          2,048   0%                                  re-search-backward
          2,048   0%                                 replace-regexp-in-string
         30,456   0%                             - seed7-line-at-endof-array-definition-block
         11,840   0%                              - seed7-line-code-ends-with
         11,840   0%                               - seed7-re-search-backward
          7,744   0%                                - run-with-timer
          7,744   0%                                 - run-at-time
          3,776   0%                                  - timer-activate
          3,776   0%                                   - timer--activate
          3,776   0%                                      timer--time-less-p
          2,432   0%                                    timer-relative-time
          1,536   0%                                  - timer-set-time
          1,536   0%                                     timer--time-setter
          4,096   0%                                  re-search-backward
         11,616   0%                              - backward-sexp
         11,616   0%                               - forward-sexp
         11,616   0%                                - seed7--forward-sexp-function
          5,808   0%                                 - seed7--at-array-definition-end-line-p
          5,808   0%                                  - seed7-line-code-ends-with
          5,808   0%                                   - seed7-re-search-backward
          5,808   0%                                    - run-with-timer
          5,808   0%                                     - run-at-time
          2,832   0%                                      - timer-activate
          2,832   0%                                       - timer--activate
          2,832   0%                                          timer--time-less-p
          1,824   0%                                        timer-relative-time
          1,152   0%                                      - timer-set-time
          1,152   0%                                         timer--time-setter
          5,808   0%                                 - seed7--at-set-definition-end-line-p
          5,808   0%                                  - seed7-line-code-ends-with
          5,808   0%                                   - seed7-re-search-backward
          5,808   0%                                    - run-with-timer
          5,808   0%                                     - run-at-time
          2,832   0%                                      - timer-activate
          2,832   0%                                       - timer--activate
          2,832   0%                                          timer--time-less-p
          1,824   0%                                        timer-relative-time
          1,152   0%                                      - timer-set-time
          1,152   0%                                         timer--time-setter
          3,072   0%                                looking-at
          2,904   0%                              - seed7-re-search-backward
          2,904   0%                               - run-with-timer
          2,904   0%                                - run-at-time
          1,416   0%                                 - timer-activate
          1,416   0%                                  - timer--activate
          1,416   0%                                     timer--time-less-p
            912   0%                                   timer-relative-time
            576   0%                                 - timer-set-time
            576   0%                                    timer--time-setter
          1,024   0%                              - seed7-move-to-line
          1,024   0%                                 seed7-to-previous-non-empty-line
         18,920   0%                             - seed7-line-after-short-func-end
          3,984   0%                              - seed7-to-block-backward
          3,984   0%                               - seed7-re-search-backward
          2,048   0%                                  re-search-backward
          1,936   0%                                - run-with-timer
          1,936   0%                                 - run-at-time
            944   0%                                  - timer-activate
            944   0%                                   - timer--activate
            944   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
         12,235   0%                             - seed7-line-inside-array-definition-block
          8,139   0%                              - seed7-re-search-backward
          4,267   0%                                 re-search-backward
          3,872   0%                               - run-with-timer
          3,872   0%                                - run-at-time
          1,888   0%                                 - timer-activate
          1,888   0%                                  - timer--activate
          1,888   0%                                     timer--time-less-p
          1,216   0%                                   timer-relative-time
            768   0%                                 - timer-set-time
            768   0%                                    timer--time-setter
          4,096   0%                              - forward-sexp
          4,096   0%                                 seed7--forward-sexp-function
          8,192   0%                             - seed7-line-is-defun-end
          6,144   0%                                looking-back
          2,048   0%                              - seed7-move-to-line
          2,048   0%                                 seed7-to-previous-non-empty-line
          7,968   0%                             - seed7-line-inside-set-definition-block
          7,968   0%                              - seed7-re-search-backward
          4,096   0%                                 re-search-backward
          3,872   0%                               - run-with-timer
          3,872   0%                                - run-at-time
          1,888   0%                                 - timer-activate
          1,888   0%                                  - timer--activate
          1,888   0%                                     timer--time-less-p
          1,216   0%                                   timer-relative-time
            768   0%                                 - timer-set-time
