      6,499,945  99% - ...
      6,499,945  99%  - #<primitive-function call-interactively>
      6,499,945  99%   - funcall-interactively
      6,499,945  99%    - smex
      6,499,945  99%     - smex-read-and-run
      6,499,945  99%      - execute-extended-command
      6,499,945  99%       - command-execute
      6,499,945  99%        - call-interactively
      6,499,945  99%         - apply
      6,499,945  99%          - call-interactively@ido-cr+-record-current-command
      6,499,945  99%           - #<primitive-function call-interactively>
      6,499,945  99%            - funcall-interactively
      6,499,945  99%             - pel-profile-all
      6,499,945  99%              - pel-profile-dir
      6,499,945  99%               - pel-profile-indent
      6,499,945  99%                - pel-profile-indentation-test-of
      4,936,045  75%                 - call-interactively
      4,936,045  75%                  - apply
      4,936,045  75%                   - call-interactively@ido-cr+-record-current-command
      4,936,045  75%                    - #<primitive-function call-interactively>
      4,936,045  75%                     - funcall-interactively
      4,936,029  75%                      - seed7-complete-statement-or-indent
      4,936,029  75%                       - seed7-indent-region
      4,936,029  75%                        - seed7--indent-one-line
      4,936,029  75%                         - seed7-calc-indent
      1,201,782  18%                          - seed7-line-inside-a-block-cached
      1,201,782  18%                           - seed7-line-inside-a-block
        823,698  12%                            - seed7--safe-enclosing-block-bounds
        823,698  12%                             - seed7--block-end-pos-for
        779,482  11%                              - seed7-to-block-forward
        299,210   4%                               - seed7-end-of-defun
        248,562   3%                                - seed7-top-block-name
        232,238   3%                                 - seed7--to-top
        205,134   3%                                  - seed7-re-search-backward
        189,728   2%                                   - run-with-timer
        189,728   2%                                    - run-at-time
         92,512   1%                                     - timer-activate
         92,512   1%                                      - timer--activate
         92,512   1%                                         timer--time-less-p
         59,584   0%                                       timer-relative-time
         37,632   0%                                     - timer-set-time
         37,632   0%                                        timer--time-setter
          8,238   0%                                   - seed7-inside-comment-p
          8,238   0%                                    - syntax-ppss
          8,238   0%                                     - syntax-propertize
          8,238   0%                                        seed7-mode-syntax-propertize
          7,168   0%                                     re-search-backward
         27,104   0%                                  - run-with-timer
         27,104   0%                                   - run-at-time
         13,216   0%                                    - timer-activate
         13,216   0%                                     - timer--activate
         13,216   0%                                        timer--time-less-p
          8,512   0%                                      timer-relative-time
          5,376   0%                                    - timer-set-time
          5,376   0%                                       timer--time-setter
         16,324   0%                                 - seed7--block-name
         16,324   0%                                    seed7-re-search-forward
         27,104   0%                                - seed7-re-search-backward
         27,104   0%                                 - run-with-timer
         27,104   0%                                  - run-at-time
         13,216   0%                                   - timer-activate
         13,216   0%                                    - timer--activate
         13,216   0%                                       timer--time-less-p
          8,512   0%                                     timer-relative-time
          5,376   0%                                   - timer-set-time
          5,376   0%                                      timer--time-setter
         14,336   0%                                  seed7-re-search-forward
          1,016   0%                                  match-string
        214,044   3%                               - seed7-inside-line-indent-before-comment-p
        214,044   3%                                - seed7-inside-comment-p
        214,044   3%                                 - syntax-ppss
        214,044   3%                                    #<byte-code-function 5A3>
        130,092   1%                                 seed7-re-search-forward
         83,968   1%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
         43,984   0%                               - seed7--current-line-nth-word
         43,984   0%                                - thing-at-point
         41,952   0%                                 - bounds-of-thing-at-point
         32,736   0%                                  - #<byte-code-function 9E6>
         32,736   0%                                   - forward-thing
         32,736   0%                                      format
          9,216   0%                                    re-search-forward
          8,184   0%                                 seed7--end-regexp-for
         27,840   0%                              - seed7--line-ends-a-statement-p
         21,696   0%                                 looking-at
          6,144   0%                               - forward-sexp
          6,144   0%                                  seed7--forward-sexp-function
        257,412   3%                            - seed7-re-search-backward
        144,232   2%                             - run-with-timer
        144,232   2%                              - run-at-time
         70,328   1%                               - timer-activate
         70,328   1%                                - timer--activate
         70,328   1%                                   timer--time-less-p
         45,296   0%                                 timer-relative-time
         28,608   0%                               - timer-set-time
         28,608   0%                                  timer--time-setter
        113,180   1%                               re-search-backward
         92,152   1%                            - replace-regexp-in-string
          8,184   0%                               concat
         16,240   0%                            - seed7-calc-indent
          3,072   0%                             - seed7-line-is-defun-end
          3,072   0%                                looking-back
          2,184   0%                             - seed7-line-inside-array-definition-block
          2,184   0%                              - seed7-re-search-backward
          1,216   0%                                 re-search-backward
            968   0%                               - run-with-timer
            968   0%                                - run-at-time
            472   0%                                 - timer-activate
            472   0%                                  - timer--activate
            472   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          1,992   0%                             - seed7-line-inside-set-definition-block
          1,992   0%                              - seed7-re-search-backward
          1,024   0%                                 re-search-backward
            968   0%                               - run-with-timer
            968   0%                                - run-at-time
            472   0%                                 - timer-activate
            472   0%                                  - timer--activate
            472   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          1,992   0%                             - seed7-line-inside-assign-statement-continuation
          1,992   0%                              - seed7-assign-op-pos
          1,992   0%                               - seed7-re-search-backward
          1,024   0%                                  re-search-backward
            968   0%                                - run-with-timer
            968   0%                                 - run-at-time
            472   0%                                  - timer-activate
            472   0%                                   - timer--activate
            472   0%                                      timer--time-less-p
            304   0%                                    timer-relative-time
            192   0%                                  - timer-set-time
            192   0%                                     timer--time-setter
          1,992   0%                             - seed7-line-inside-parens-pair-column
          1,992   0%                              - seed7-line-inside-parens-pair
          1,992   0%                               - seed7-re-search-backward
          1,024   0%                                  re-search-backward
            968   0%                                - run-with-timer
            968   0%                                 - run-at-time
            472   0%                                  - timer-activate
            472   0%                                   - timer--activate
            472   0%                                      timer--time-less-p
            304   0%                                    timer-relative-time
            192   0%                                  - timer-set-time
            192   0%                                     timer--time-setter
          1,936   0%                             - seed7-line-inside-a-block-cached
          1,936   0%                              - seed7-line-inside-a-block
          1,936   0%                               - seed7-re-search-backward
          1,936   0%                                - run-with-timer
          1,936   0%                                 - run-at-time
            944   0%                                  - timer-activate
            944   0%                                   - timer--activate
            944   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,024   0%                             - seed7-line-isa-string
          1,024   0%                                seed7-line-starts-with
          1,024   0%                               seed7-line-starts-with
          1,024   0%                             - seed7-line-starts-with-open-paren-after-logic-operator
          1,024   0%                                seed7-line-starts-with
          4,096   0%                              seed7--indent-offset-for
      1,019,186  15%                          - seed7-line-is-defun-end
        361,546   5%                           - seed7-line-starts-with-any
        361,546   5%                              seed7-line-starts-with
        274,548   4%                           - seed7-beg-of-defun
        134,066   2%                            - seed7-re-search-backward
         96,800   1%                             - run-with-timer
         96,800   1%                              - run-at-time
         47,200   0%                               - timer-activate
         47,200   0%                                - timer--activate
         47,200   0%                                   timer--time-less-p
         30,400   0%                                 timer-relative-time
         19,200   0%                               - timer-set-time
         19,200   0%                                  timer--time-setter
         37,266   0%                               re-search-backward
         68,794   1%                            - seed7-re-search-backward-closest
         68,794   1%                             - seed7-re-search-backward
         37,818   0%                                re-search-backward
         30,976   0%                              - run-with-timer
         30,976   0%                               - run-at-time
         15,104   0%                                - timer-activate
         15,104   0%                                 - timer--activate
         15,104   0%                                    timer--time-less-p
          9,728   0%                                  timer-relative-time
          6,144   0%                                - timer-set-time
          6,144   0%                                   timer--time-setter
          8,184   0%                            - user-error
          8,184   0%                               format-message
        245,736   3%                             looking-back
         74,752   1%                           - seed7-move-to-line
         74,752   1%                              seed7-to-previous-non-empty-line
         33,752   0%                           - seed7--current-line-nth-word
         33,752   0%                            - thing-at-point
         32,736   0%                             - bounds-of-thing-at-point
         16,368   0%                              - #<byte-code-function 546>
         16,368   0%                               - forward-thing
         16,368   0%                                  format
         16,368   0%                              - #<byte-code-function DA8C>
         16,368   0%                               - forward-thing
         16,368   0%                                  format
         28,852   0%                           - seed7--safe-current-line-defun-start-indent
         28,852   0%                            - seed7-to-block-backward
         28,852   0%                             - seed7-re-search-backward
         14,520   0%                              - run-with-timer
         14,520   0%                               - run-at-time
          7,080   0%                                - timer-activate
          7,080   0%                                 - timer--activate
          7,080   0%                                    timer--time-less-p
          4,560   0%                                  timer-relative-time
          2,880   0%                                - timer-set-time
          2,880   0%                                   timer--time-setter
         14,332   0%                                re-search-backward
        359,093   5%                          - seed7--current-line-nth-word
        359,093   5%                           - thing-at-point
        358,077   5%                            - bounds-of-thing-at-point
        357,053   5%                             - #<byte-code-function 088>
        357,053   5%                              - forward-thing
        340,685   5%                               - forward-word
        340,685   5%                                - internal--syntax-propertize
        340,685   5%                                 - syntax-propertize
        340,685   5%                                    seed7-mode-syntax-propertize
         16,368   0%                                 format
          1,024   0%                               re-search-forward
        338,656   5%                          - seed7-line-inside-parens-pair-column
        338,656   5%                           - seed7-line-inside-parens-pair
        264,928   4%                            - seed7-re-search-backward
        181,984   2%                             - run-with-timer
        181,984   2%                              - run-at-time
         88,736   1%                               - timer-activate
         88,736   1%                                - timer--activate
         88,736   1%                                   timer--time-less-p
         57,152   0%                                 timer-relative-time
         36,096   0%                               - timer-set-time
         36,096   0%                                  timer--time-setter
         82,944   1%                               re-search-backward
         73,728   1%                            - forward-sexp
         73,728   1%                               seed7--forward-sexp-function
        297,854   4%                          - seed7-comment-column
        252,454   3%                           - seed7-calc-indent
         52,170   0%                            - seed7-line-is-defun-end
         21,504   0%                               looking-back
         15,314   0%                             - seed7--safe-current-line-defun-start-indent
         15,314   0%                              - seed7-to-block-backward
         15,314   0%                               - seed7-re-search-backward
          9,506   0%                                  re-search-backward
          5,808   0%                                - run-with-timer
          5,808   0%                                 - run-at-time
          2,832   0%                                  - timer-activate
          2,832   0%                                   - timer--activate
          2,832   0%                                      timer--time-less-p
          1,824   0%                                    timer-relative-time
          1,152   0%                                  - timer-set-time
          1,152   0%                                     timer--time-setter
          8,184   0%                             - seed7--current-line-nth-word
          8,184   0%                              - thing-at-point
          8,184   0%                               - bounds-of-thing-at-point
          8,184   0%                                - #<byte-code-function 667>
          8,184   0%                                 - forward-thing
          8,184   0%                                    format
          7,168   0%                             - seed7-line-starts-with-any
          7,168   0%                                seed7-line-starts-with
         38,144   0%                            - seed7-line-inside-array-definition-block
         38,144   0%                             - seed7-re-search-backward
         30,976   0%                              - run-with-timer
         30,976   0%                               - run-at-time
         15,104   0%                                - timer-activate
         15,104   0%                                 - timer--activate
         15,104   0%                                    timer--time-less-p
          9,728   0%                                  timer-relative-time
          6,144   0%                                - timer-set-time
          6,144   0%                                   timer--time-setter
          7,168   0%                                re-search-backward
         38,144   0%                            - seed7-line-inside-set-definition-block
         38,144   0%                             - seed7-re-search-backward
         30,976   0%                              - run-with-timer
         30,976   0%                               - run-at-time
         15,104   0%                                - timer-activate
         15,104   0%                                 - timer--activate
         15,104   0%                                    timer--time-less-p
          9,728   0%                                  timer-relative-time
          6,144   0%                                - timer-set-time
          6,144   0%                                   timer--time-setter
          7,168   0%                                re-search-backward
         38,144   0%                            - seed7-line-inside-assign-statement-continuation
         38,144   0%                             - seed7-assign-op-pos
         38,144   0%                              - seed7-re-search-backward
         30,976   0%                               - run-with-timer
         30,976   0%                                - run-at-time
         15,104   0%                                 - timer-activate
         15,104   0%                                  - timer--activate
         15,104   0%                                     timer--time-less-p
          9,728   0%                                   timer-relative-time
          6,144   0%                                 - timer-set-time
          6,144   0%                                    timer--time-setter
          7,168   0%                                 re-search-backward
         35,092   0%                            - seed7-line-inside-a-block-cached
         35,092   0%                             - seed7-line-inside-a-block
         26,908   0%                              - seed7-re-search-backward
         25,168   0%                               - run-with-timer
         25,168   0%                                - run-at-time
         12,272   0%                                 - timer-activate
         12,272   0%                                  - timer--activate
