  2,187,275,953  99% - ...
  2,187,275,953  99%  - call-interactively
  2,187,275,953  99%   - apply
  2,187,275,953  99%    - call-interactively@ido-cr+-record-current-command
  2,187,275,953  99%     - #<primitive-function call-interactively>
  2,187,275,953  99%      - funcall-interactively
  2,187,275,953  99%       - smex
  2,187,275,953  99%        - smex-read-and-run
  2,187,275,953  99%         - execute-extended-command
  2,187,275,953  99%          - command-execute
  2,187,275,953  99%           - call-interactively
  2,187,275,953  99%            - apply
  2,187,275,953  99%             - call-interactively@ido-cr+-record-current-command
  2,187,275,953  99%              - #<primitive-function call-interactively>
  2,187,275,953  99%               - funcall-interactively
  2,187,275,953  99%                - pel-profile
  2,185,672,629  98%                 - call-interactively
  2,185,672,629  98%                  - apply
  2,185,672,629  98%                   - call-interactively@ido-cr+-record-current-command
  2,185,672,629  98%                    - #<primitive-function call-interactively>
  2,185,672,629  98%                     - funcall-interactively
  2,185,672,613  98%                      - seed7-complete-statement-or-indent
  2,185,672,613  98%                       - seed7-indent-region
  2,185,672,613  98%                        - seed7--indent-one-line
  2,183,895,400  98%                         - seed7-calc-indent
  1,046,517,476  47%                          - seed7-line-is-defun-end
    861,326,041  39%                           - seed7-end-of-defun
    811,761,537  36%                            - seed7-top-block-name
    811,151,313  36%                             - seed7--to-top
    800,403,149  36%                              - seed7-re-search-backward
    798,550,736  36%                               - run-with-timer
    798,550,736  36%                                - run-at-time
    470,143,078  21%                                 - timer-activate
    470,143,078  21%                                  - timer--activate
    470,143,078  21%                                   - timer--time-less-p
            394   0%                                      timer--time
    201,167,568   9%                                   timer-relative-time
    127,107,482   5%                                 - timer-set-time
    127,107,472   5%                                    timer--time-setter
        132,608   0%                                   timer-create
      1,210,555   0%                               - seed7-inside-comment-p
      1,111,099   0%                                - syntax-ppss
      1,032,363   0%                                 - syntax-propertize
      1,032,363   0%                                    seed7-mode-syntax-propertize
         78,736   0%                                   make-closure
        540,727   0%                               - seed7-inside-string-p
         64,167   0%                                - syntax-ppss
         62,160   0%                                   make-closure
          1,146   0%                                   #<byte-code-function E05>
             40   0%                                   syntax-table
         99,491   0%                                 make-closure
            163   0%                                 re-search-backward
     10,747,267   0%                              - run-with-timer
     10,747,267   0%                               - run-at-time
      5,789,840   0%                                - timer-activate
      5,789,840   0%                                 - timer--activate
      5,789,840   0%                                    timer--time-less-p
      3,035,728   0%                                  timer-relative-time
      1,917,312   0%                                - timer-set-time
      1,917,312   0%                                   timer--time-setter
          4,144   0%                                  timer-create
            243   0%                                  timer-set-function
            897   0%                                make-closure
        606,080   0%                             - seed7--block-name
        371,376   0%                                match-string
         20,720   0%                              - seed7-re-search-forward
         20,720   0%                                 seed7-inside-string-p
     21,967,493   0%                            - seed7-re-search-forward
      8,195,939   0%                             - internal--syntax-propertize
      8,195,939   0%                              - syntax-propertize
      8,195,939   0%                                 seed7-mode-syntax-propertize
      7,528,000   0%                             - seed7-inside-comment-p
      7,407,824   0%                              - syntax-ppss
      7,315,014   0%                               - syntax-propertize
      7,169,974   0%                                  seed7-mode-syntax-propertize
         91,168   0%                                 make-closure
          1,642   0%                                 #<byte-code-function 6136>
        580,922   0%                             - seed7-inside-string-p
        104,362   0%                              - syntax-ppss
        103,600   0%                                 make-closure
            762   0%                                 #<byte-code-function 2CE>
     10,812,262   0%                            - seed7-re-search-backward
     10,752,752   0%                             - run-with-timer
     10,752,752   0%                              - run-at-time
      5,791,424   0%                               - timer-activate
      5,791,424   0%                                - timer--activate
      5,791,424   0%                                   timer--time-less-p
      3,035,728   0%                                 timer-relative-time
      1,917,312   0%                               - timer-set-time
      1,917,312   0%                                  timer--time-setter
          8,288   0%                                 timer-create
         55,366   0%                             - seed7-inside-string-p
          1,494   0%                                syntax-ppss
          4,144   0%                             - seed7-inside-comment-p
          4,144   0%                              - syntax-ppss
          4,144   0%                                 make-closure
      5,870,216   0%                              match-string-no-properties
      3,051,760   0%                              match-string
    134,105,148   6%                           - seed7-beg-of-defun
     71,501,389   3%                            - seed7-re-search-backward
     65,126,248   2%                             - run-with-timer
     65,126,248   2%                              - run-at-time
     35,595,174   1%                               - timer-activate
     35,595,174   1%                                - timer--activate
     35,595,174   1%                                 - timer--time-less-p
          3,390   0%                                    timer--time
     18,079,120   0%                                 timer-relative-time
     11,427,090   0%                               - timer-set-time
     11,422,576   0%                                  timer--time-setter
         24,864   0%                                 timer-create
      6,224,100   0%                               re-search-backward
         95,312   0%                             - seed7-inside-string-p
         12,432   0%                              - syntax-ppss
         12,432   0%                                 make-closure
         35,009   0%                             - seed7-inside-comment-p
         22,577   0%                              - syntax-ppss
         20,720   0%                                 make-closure
          1,857   0%                                 #<byte-code-function F89>
         20,720   0%                               make-closure
     18,318,167   0%                            - seed7-top-block-name
      9,305,141   0%                             - seed7--block-name
      9,233,829   0%                              - seed7-re-search-forward
          4,144   0%                                 seed7-inside-string-p
         53,496   0%                                match-string
      9,013,026   0%                             - seed7--to-top
