  1,855,663,499  99% - ...
  1,855,663,499  99%  - call-interactively
  1,855,663,499  99%   - apply
  1,855,663,499  99%    - call-interactively@ido-cr+-record-current-command
  1,855,663,499  99%     - #<primitive-function call-interactively>
  1,855,663,499  99%      - funcall-interactively
  1,855,663,499  99%       - smex
  1,855,663,499  99%        - smex-read-and-run
  1,855,663,499  99%         - execute-extended-command
  1,855,663,499  99%          - command-execute
  1,855,663,499  99%           - call-interactively
  1,855,663,499  99%            - apply
  1,855,663,499  99%             - call-interactively@ido-cr+-record-current-command
  1,855,663,499  99%              - #<primitive-function call-interactively>
  1,855,663,499  99%               - funcall-interactively
  1,855,663,499  99%                - pel-profile
  1,853,956,575  99%                 - call-interactively
  1,853,956,575  99%                  - apply
  1,853,956,575  99%                   - call-interactively@ido-cr+-record-current-command
  1,853,956,575  99%                    - #<primitive-function call-interactively>
  1,853,956,575  99%                     - funcall-interactively
  1,853,956,559  99%                      - seed7-complete-statement-or-indent
  1,853,956,559  99%                       - seed7-indent-region
  1,853,956,559  99%                        - seed7--indent-one-line
  1,841,778,834  99%                         - seed7-calc-indent
    631,966,426  34%                          - seed7-line-inside-a-block-cached
    631,349,690  34%                           - seed7-line-inside-a-block
    405,522,646  21%                            - seed7--safe-enclosing-block-bounds
    402,352,486  21%                             - seed7--block-end-pos-for
    401,615,046  21%                              - seed7-to-block-forward
    153,106,671   8%                               - seed7-end-of-defun
    146,359,307   7%                                - seed7-top-block-name
    144,882,483   7%                                 - seed7--to-top
    142,698,091   7%                                  - seed7-re-search-backward
    116,249,152   6%                                   - run-with-timer
    116,249,152   6%                                    - run-at-time
     55,687,752   2%                                     - timer-activate
     55,687,752   2%                                      - timer--activate
     55,622,168   2%                                       - timer--time-less-p
        918,176   0%                                          timer--time
     33,185,936   1%                                       timer-relative-time
     22,497,976   1%                                     - timer-set-time
     22,497,976   1%                                        timer--time-setter
      4,877,488   0%                                       timer-create
     17,223,008   0%                                   - seed7-inside-string-p
      2,831,256   0%                                    - syntax-ppss
      2,478,112   0%                                       make-closure
        353,144   0%                                     - parse-partial-sexp
         58,016   0%                                      - internal--syntax-propertize
         37,296   0%                                       - syntax-propertize
         29,008   0%                                          seed7-mode-syntax-propertize
      5,937,307   0%                                   - seed7-inside-comment-p
      2,999,211   0%                                    - syntax-ppss
      2,428,384   0%                                       make-closure
        426,296   0%                                       parse-partial-sexp
         78,947   0%                                     - syntax-propertize
         62,371   0%                                        seed7-mode-syntax-propertize
      3,016,832   0%                                     make-closure
        206,208   0%                                     re-search-backward
      1,909,264   0%                                  - run-with-timer
      1,909,264   0%                                   - run-at-time
        902,424   0%                                    - timer-activate
        902,424   0%                                     - timer--activate
        902,424   0%                                      - timer--time-less-p
         32,792   0%                                         timer--time
        541,120   0%                                      timer-relative-time
        378,696   0%                                    - timer-set-time
        378,696   0%                                       timer--time-setter
         87,024   0%                                      timer-create
         45,584   0%                                    make-closure
      1,393,944   0%                                 - seed7--block-name
      1,208,480   0%                                  - seed7-re-search-forward
        583,584   0%                                   - seed7-inside-string-p
        144,320   0%                                    - syntax-ppss
         78,736   0%                                       make-closure
         65,584   0%                                       parse-partial-sexp
        103,240   0%                                   - seed7-inside-comment-p
         78,376   0%                                    - syntax-ppss
         45,584   0%                                       make-closure
         32,792   0%                                       parse-partial-sexp
         53,384   0%                                    match-string
      3,109,216   0%                                - seed7-re-search-forward
      1,231,841   0%                                 - internal--syntax-propertize
      1,173,825   0%                                  - syntax-propertize
      1,148,961   0%                                     seed7-mode-syntax-propertize
        488,632   0%                                 - seed7-inside-string-p
         95,312   0%                                  - syntax-ppss
         95,312   0%                                     make-closure
        400,714   0%                                 - seed7-inside-comment-p
        280,538   0%                                  - syntax-ppss
        197,658   0%                                   - syntax-propertize
        114,778   0%                                      seed7-mode-syntax-propertize
         82,880   0%                                     make-closure
      2,564,376   0%                                - seed7-re-search-backward
      1,872,328   0%                                 - run-with-timer
      1,872,328   0%                                  - run-at-time
        902,424   0%                                   - timer-activate
        902,424   0%                                    - timer--activate
        902,424   0%                                     - timer--time-less-p
         32,792   0%                                        timer--time
        541,120   0%                                     timer-relative-time
        350,048   0%                                   - timer-set-time
        350,048   0%                                      timer--time-setter
         78,736   0%                                     timer-create
        497,280   0%                                 - seed7-inside-string-p
         62,160   0%                                  - syntax-ppss
         62,160   0%                                     make-closure
        107,744   0%                                 - seed7-inside-comment-p
         78,736   0%                                  - syntax-ppss
         78,736   0%                                     make-closure
         87,024   0%                                   make-closure
        252,192   0%                                  match-string
         42,168   0%                                  match-string-no-properties
    119,455,942   6%                               - seed7--current-line-nth-word
    110,195,374   5%                                - thing-at-point
     98,705,398   5%                                 - bounds-of-thing-at-point
     43,681,904   2%                                    make-closure
     17,667,059   0%                                  - #<byte-code-function 676>
     17,665,896   0%                                   - forward-thing
     17,665,720   0%                                      format
            176   0%                                      intern-soft
     12,408,220   0%                                  - seq-some
     12,407,136   0%                                     make-closure
          1,084   0%                                     seq-do
      9,263,960   0%                                  - #<byte-code-function F7A>
      9,262,968   0%                                   - forward-thing
      9,262,968   0%                                      format
        227,135   0%                                    re-search-forward
     82,159,300   4%                               - seed7-re-search-forward
     37,504,224   2%                                - seed7-inside-string-p
      7,933,360   0%                                 - syntax-ppss
      7,931,616   0%                                    make-closure
     23,935,466   1%                                - seed7-inside-comment-p
     17,988,826   0%                                 - syntax-ppss
     10,082,740   0%                                  - syntax-propertize
      9,490,148   0%                                     seed7-mode-syntax-propertize
      7,840,448   0%                                    make-closure
         65,584   0%                                    parse-partial-sexp
             54   0%                                    #<byte-code-function 8E9>
         53,545   0%                                - internal--syntax-propertize
         49,401   0%                                 - syntax-propertize
         45,257   0%                                    seed7-mode-syntax-propertize
     27,036,890   1%                               - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
      6,933,474   0%                                - seed7-inside-comment-p
      3,941,506   0%                                 - syntax-ppss
      3,940,944   0%                                    make-closure
            562   0%                                    #<byte-code-function 324>
      6,771,296   0%                                - seed7-inside-line-indent-before-comment-p
        174,048   0%                                 - seed7-inside-comment-p
         78,736   0%                                  - syntax-ppss
         78,736   0%                                     make-closure
      6,965,857   0%                               - seed7-inside-comment-p
      4,164,513   0%                                - syntax-ppss
      4,098,416   0%                                   make-closure
         65,584   0%                                   parse-partial-sexp
            513   0%                                   #<byte-code-function 206>
      6,237,106   0%                               - seed7-inside-line-indent-before-comment-p
        157,472   0%                                - seed7-inside-comment-p
        103,600   0%                                 - syntax-ppss
        103,600   0%                                    make-closure
            386   0%                                  seed7-to-indent
      3,752,480   0%                               - seed7--end-regexp-for
          2,096   0%                                  seed7--type-regexp
        349,016   0%                              - seed7-to-next-line-starts-with
        305,384   0%                               - seed7-re-search-forward
         62,160   0%                                - seed7-inside-string-p
         20,720   0%                                 - syntax-ppss
         20,720   0%                                    make-closure
         16,576   0%                                - seed7-inside-comment-p
         12,432   0%                                 - syntax-ppss
         12,432   0%                                    make-closure
         61,056   0%                              - seed7-re-search-forward-closest
         52,768   0%                               - seed7-re-search-forward
         20,720   0%                                - seed7-inside-string-p
          8,288   0%                                 - syntax-ppss
          8,288   0%                                    make-closure
          4,144   0%                                  seed7-inside-comment-p
    173,506,125   9%                            - seed7-re-search-backward
    126,380,447   6%                             - run-with-timer
    126,380,447   6%                              - run-at-time
     61,910,816   3%                               - timer-activate
     61,910,816   3%                                - timer--activate
     61,910,816   3%                                   timer--time-less-p
     35,040,975   1%                                 timer-relative-time
     23,191,936   1%                               - timer-set-time
     23,191,936   1%                                  timer--time-setter
      6,236,720   0%                                 timer-create
     23,048,900   1%                             - seed7-inside-string-p
      4,513,148   0%                              - syntax-ppss
      4,512,816   0%                                 make-closure
     13,414,626   0%                               re-search-backward
      6,973,992   0%                             - seed7-inside-comment-p
      4,048,328   0%                              - syntax-ppss
      4,015,536   0%                                 make-closure
         32,792   0%                                 parse-partial-sexp
      3,688,160   0%                               make-closure
     37,308,734   2%                            - replace-regexp-in-string
      2,427,821   0%                               concat
            195   0%                               #<byte-code-function CC3>
      5,546,160   0%                              match-string
      2,327,145   0%                            - seed7-calc-indent
        735,832   0%                             - seed7-line-inside-parens-pair-column
        735,832   0%                              - seed7-line-inside-parens-pair
        729,688   0%                               - seed7-re-search-backward
        337,288   0%                                - seed7-inside-comment-p
        312,424   0%                                 - syntax-ppss
        196,752   0%                                    parse-partial-sexp
         82,880   0%                                    make-closure
        292,520   0%                                - run-with-timer
        292,520   0%                                 - run-at-time
        120,872   0%                                  - timer-activate
        120,872   0%                                   - timer--activate
        120,872   0%                                      timer--time-less-p
         97,584   0%                                    timer-relative-time
         61,632   0%                                  - timer-set-time
         61,632   0%                                     timer--time-setter
         12,432   0%                                    timer-create
         74,232   0%                                - seed7-inside-string-p
         45,224   0%                                 - syntax-ppss
         32,792   0%                                    parse-partial-sexp
         12,432   0%                                    make-closure
         21,504   0%                                  re-search-backward
          4,144   0%                                  make-closure
          6,144   0%                               - forward-sexp
          6,144   0%                                  seed7--forward-sexp-function
        317,096   0%                             - seed7-line-at-endof-array-definition-block
        170,920   0%                              - seed7-line-code-ends-with
        170,920   0%                               - seed7-re-search-backward
         96,024   0%                                - run-with-timer
         96,024   0%                                 - run-at-time
         49,992   0%                                  - timer-set-time
         49,992   0%                                     timer--time-setter
         21,216   0%                                  - timer-activate
         21,216   0%                                   - timer--activate
         21,216   0%                                      timer--time-less-p
         20,672   0%                                    timer-relative-time
          4,144   0%                                    timer-create
         37,960   0%                                  re-search-backward
         36,936   0%                                - seed7-inside-comment-p
         36,936   0%                                 - syntax-ppss
         32,792   0%                                    parse-partial-sexp
          4,144   0%                                    make-closure
        100,136   0%                              - backward-sexp
        100,136   0%                               - forward-sexp
        100,136   0%                                - seed7--forward-sexp-function
         40,464   0%                                 - seed7--at-array-definition-end-line-p
         31,120   0%                                  - seed7-line-code-ends-with
         31,120   0%                                   - seed7-re-search-backward
         22,832   0%                                    - run-with-timer
         22,832   0%                                     - run-at-time
         13,904   0%                                      - timer-activate
         13,904   0%                                       - timer--activate
         13,904   0%                                          timer--time-less-p
          5,472   0%                                        timer-relative-time
          3,456   0%                                      - timer-set-time
          3,456   0%                                         timer--time-setter
          4,144   0%                                      seed7-inside-comment-p
          4,144   0%                                    - seed7-inside-string-p
          4,144   0%                                     - syntax-ppss
          4,144   0%                                        make-closure
          9,344   0%                                    looking-at
         17,392   0%                                 - seed7-beg-of-defun
          7,808   0%                                  - seed7-top-block-name
          5,168   0%                                   - seed7--block-name
          5,168   0%                                    - seed7-re-search-forward
          4,144   0%                                       seed7-inside-string-p
          2,640   0%                                   - seed7--to-top
          1,832   0%                                    - seed7-re-search-backward
          1,024   0%                                       re-search-backward
            808   0%                                     - run-with-timer
            808   0%                                      - run-at-time
            312   0%                                       - timer-activate
            312   0%                                        - timer--activate
            312   0%                                           timer--time-less-p
            304   0%                                         timer-relative-time
            192   0%                                       - timer-set-time
            192   0%                                          timer--time-setter
            808   0%                                    - run-with-timer
            808   0%                                     - run-at-time
            312   0%                                      - timer-activate
            312   0%                                       - timer--activate
            312   0%                                          timer--time-less-p
            304   0%                                        timer-relative-time
            192   0%                                      - timer-set-time
            192   0%                                         timer--time-setter
          3,664   0%                                  - seed7-re-search-backward-closest
          3,664   0%                                   - seed7-re-search-backward
          2,048   0%                                      re-search-backward
          1,616   0%                                    - run-with-timer
          1,616   0%                                     - run-at-time
            624   0%                                      - timer-activate
            624   0%                                       - timer--activate
            624   0%                                          timer--time-less-p
            608   0%                                        timer-relative-time
            384   0%                                      - timer-set-time
            384   0%                                         timer--time-setter
          1,832   0%                                  - seed7-re-search-backward
          1,024   0%                                     re-search-backward
            808   0%                                   - run-with-timer
            808   0%                                    - run-at-time
            312   0%                                     - timer-activate
            312   0%                                      - timer--activate
            312   0%                                         timer--time-less-p
            304   0%                                       timer-relative-time
            192   0%                                     - timer-set-time
            192   0%                                        timer--time-setter
          1,016   0%                                    match-string
         17,072   0%                                 - seed7--at-set-definition-end-line-p
         17,072   0%                                  - seed7-line-code-ends-with
         17,072   0%                                   - seed7-re-search-backward
         17,072   0%                                    - run-with-timer
         17,072   0%                                     - run-at-time
          4,992   0%                                      - timer-activate
          4,992   0%                                       - timer--activate
          4,992   0%                                          timer--time-less-p
          4,864   0%                                        timer-relative-time
          4,144   0%                                        timer-create
          3,072   0%                                      - timer-set-time
          3,072   0%                                         timer--time-setter
          5,760   0%                                 - seed7--safe-to-block-backward
          5,760   0%                                  - seed7-to-block-backward
          5,760   0%                                   - seed7-line-code-ends-with
          5,760   0%                                    - seed7-re-search-backward
          4,144   0%                                     - seed7-inside-string-p
          4,144   0%                                      - syntax-ppss
          4,144   0%                                         make-closure
          1,616   0%                                     - run-with-timer
          1,616   0%                                      - run-at-time
            624   0%                                       - timer-activate
            624   0%                                        - timer--activate
            624   0%                                           timer--time-less-p
            608   0%                                         timer-relative-time
            384   0%                                       - timer-set-time
            384   0%                                          timer--time-setter
         32,792   0%                              - seed7-move-to-line
         32,792   0%                                 seed7-to-previous-non-empty-line
          8,080   0%                              - seed7-re-search-backward
          8,080   0%                               - run-with-timer
          8,080   0%                                - run-at-time
          3,120   0%                                 - timer-activate
          3,120   0%                                  - timer--activate
          3,120   0%                                     timer--time-less-p
          3,040   0%                                   timer-relative-time
          1,920   0%                                 - timer-set-time
          1,920   0%                                    timer--time-setter
          1,024   0%                                looking-at
        288,832   0%                             - seed7-line-inside-a-block-cached
        288,832   0%                              - seed7-line-inside-a-block
        138,136   0%                               - seed7--safe-enclosing-block-bounds
        138,136   0%                                - seed7--block-end-pos-for
        109,224   0%                                 - seed7-to-block-forward
         37,136   0%                                  - seed7--current-line-nth-word
         37,136   0%                                   - thing-at-point
         19,744   0%                                    - bounds-of-thing-at-point
          4,192   0%                                     - #<byte-code-function 3B8>
          4,192   0%                                      - forward-thing
          4,192   0%                                         format
          4,192   0%                                     - #<byte-code-function 51D>
          4,192   0%                                      - forward-thing
          4,192   0%                                         format
          4,144   0%                                       make-closure
          4,144   0%                                     - seq-some
          4,144   0%                                        make-closure
          3,072   0%                                       re-search-forward
         32,792   0%                                  - seed7-inside-comment-p
         32,792   0%                                   - syntax-ppss
         32,792   0%                                      parse-partial-sexp
